,N,4R,B2,BT,E2,ET
0,8.0,0.00015465542900887624,3.051725538938399e-14,2.5760643618255585e-16,0.0007731276563853829,2.2321012226045323e-16
1,12.0,2.3583172647638588e-05,2.8750150408522285e-13,1.8937397946080145e-16,0.00011791238704081334,2.9546918538391074e-16
2,16.0,6.615478465405496e-06,2.989275493803234e-14,1.4224732503009818e-16,3.307711911374226e-05,3.5082749422557513e-16
3,20.0,2.527249143749799e-06,1.643629676806313e-13,2.2412627309620346e-16,1.2636205713119076e-05,3.7374096872877516e-16
4,24.0,1.1645784682425397e-06,6.146287182910252e-13,2.667137344314341e-16,5.822883845920523e-06,2.933509755839622e-16
5,28.0,6.087967476174429e-07,3.902235677445885e-13,2.6912995641583035e-16,3.043981263780356e-06,3.102616787757943e-16
6,32.0,3.484814725320407e-07,1.8849505289963986e-14,1.229485263598562e-16,1.7424065961127471e-06,2.453337758097883e-16
7,36.0,2.135997953912454e-07,1.7623988688184353e-12,2.1182901112205678e-16,1.0679985864521732e-06,2.831256403211389e-16
8,40.0,1.38112919792259e-07,1.5446338652580494e-12,1.8691645453650096e-16,6.905647700122947e-07,4.0796966499501155e-16
9,44.0,9.321878650350391e-08,2.017933799856244e-12,2.4569992505198775e-16,4.6609418926017037e-07,2.839338951574623e-16
10,48.0,6.517303901111896e-08,1.4762797465965132e-12,3.3501847129802087e-16,3.2586551845889576e-07,3.0835086244575414e-16
11,52.0,4.692542269336389e-08,1.738929513204714e-12,3.3259986645170704e-16,2.3462710746403193e-07,3.0257546084609085e-16
12,56.0,3.4640477141269625e-08,2.2428725543477412e-12,2.1845124915336507e-16,1.7320259113436305e-07,3.192035808769311e-16
13,60.0,2.612530197839732e-08,2.545632223534729e-12,3.550400714165865e-16,1.3062687399374973e-07,3.6705942426498e-16
14,64.0,2.0072930826406724e-08,2.0641474640648028e-14,1.4842727741326556e-16,1.0036447388308702e-07,2.7636096324462774e-16
15,68.0,1.5676387488908653e-08,2.7393822504502153e-12,2.695964366782779e-16,7.838203096139629e-08,3.096768509651453e-16
16,72.0,1.2420168194245323e-08,3.0004239833421784e-12,2.476317761956892e-16,6.210058666978846e-08,2.7725761914942786e-16
17,76.0,9.967676576470177e-09,2.5723020205098716e-12,2.8417509573567434e-16,4.983836660856777e-08,3.046652522356008e-16
18,80.0,8.09115696732022e-09,3.3218358619357957e-12,2.590375830502367e-16,4.045595377483169e-08,3.6183466704635405e-16
19,84.0,6.6363484045572185e-09,4.118390813564095e-12,3.1675224612538415e-16,3.318183955341224e-08,2.747176424356888e-16
20,88.0,5.494617493966682e-09,3.929951061546174e-12,2.756633305461326e-16,2.7473006029072456e-08,2.603796436890717e-16
21,92.0,4.587514334141625e-09,4.591877602793018e-12,2.3543214479398273e-16,2.2937777750262386e-08,3.2236123297461106e-16
22,96.0,3.860874417913435e-09,4.286233405241073e-12,2.940356291780688e-16,1.930442374657193e-08,2.9784213249984833e-16
23,100.0,3.2723293307743706e-09,5.443112627290247e-12,2.6624535909292034e-16,1.6361656170942986e-08,3.303549794830829e-16
24,104.0,2.7915530263703956e-09,4.545780418752088e-12,3.1608663336308166e-16,1.3958484123841101e-08,3.498689258921083e-16
25,108.0,2.396219414232382e-09,4.22587479412776e-12,3.005890289762034e-16,1.1981263572255955e-08,3.0422636394327253e-16
26,112.0,2.067916967640687e-09,4.693037625180807e-12,3.327261581333372e-16,1.0339695893483977e-08,3.2536824715530695e-16
27,116.0,1.7946501924377044e-09,4.462477322530256e-12,3.2774310085782506e-16,8.973406051165658e-09,3.2196729818193217e-16
28,120.0,1.5649873821757018e-09,5.058017893411204e-12,2.489328188026718e-16,7.825143365526896e-09,3.206991401476799e-16
29,124.0,1.3707989525972941e-09,6.623064999659285e-12,2.5310175102719673e-16,6.854022738485497e-09,2.98330290422945e-16
30,128.0,1.2055734640415777e-09,2.7216943976338115e-14,2.2128566340429145e-16,6.027741618279596e-09,3.341371037379007e-16
31,132.0,1.065134479458468e-09,7.751442585445009e-12,3.075717290284939e-16,5.325587150628183e-09,3.0994801044247667e-16
32,136.0,9.437488302713464e-10,6.959023226952234e-12,2.7717309656600014e-16,4.718820131895599e-09,3.0509714225917895e-16
33,140.0,8.396432498074528e-10,8.244754878816706e-12,2.69253865235543e-16,4.198518388255671e-09,3.087747919048784e-16
34,144.0,7.492424843163111e-10,1.0930865009436038e-11,3.1097327645045346e-16,3.745850246574487e-09,2.96125102600992e-16
35,148.0,6.709296073326429e-10,1.0721067427226288e-11,2.682491991297649e-16,3.35400908340396e-09,2.699256830998661e-16
