,N,4R,B2,BT,E2,ET
0,8.0,0.0001546554290445701377,7.451314955678189911e-16,1.1053779961668619425e-19,0.00077312765583391610447,1.2726670032495862595e-19
1,16.0,6.615478485672955189e-06,7.329240567319900146e-16,9.8467580118312414417e-20,3.3077118896732644112e-05,1.4219565602031566942e-19
2,24.0,1.1645784497067253175e-06,7.352358919893627516e-15,1.5366589384771765318e-19,5.822883780473633514e-06,9.915873547457894421e-20
3,32.0,3.484813366397430045e-07,7.307116066737617821e-16,1.1318477757685588281e-19,1.7424059209362271241e-06,1.04370340969490819905e-19
4,40.0,1.381129308450877724e-07,1.6450230934383913705e-14,8.783731663027094516e-20,6.9056453817076675044e-07,1.107770864242855341e-19
5,48.0,6.517305744476716091e-08,1.1962554834514180224e-14,1.4773666321693755081e-19,3.2586526184308434554e-07,1.1081279121588160078e-19
6,56.0,3.4640406341960238163e-08,1.793756154585804e-14,1.5742712348254924873e-19,1.7320201109938911527e-07,1.3114749413431761423e-19
7,64.0,2.0073110075372484803e-08,7.356574320527796418e-16,1.0450268986749930433e-19,1.00365544627160426406e-07,1.2994014806473001139e-19
8,72.0,1.2420186935475548944e-08,2.0291327031534781936e-14,1.1178482034458835864e-19,6.210090842289038952e-08,1.4393187748974549106e-19
9,80.0,8.091241719836730445e-09,1.5265192538846394931e-14,1.1797051372884267972e-19,4.0456208117962567786e-08,1.3742606643388590761e-19
10,88.0,5.4945013150084877207e-09,4.2443811939663824504e-14,1.4230153513872245696e-19,2.7472526878356101718e-08,1.283502112205553588e-19
11,96.0,3.8608049149950705997e-09,2.4510350707963405684e-14,1.1420827572145482905e-19,1.9304007239890774992e-08,1.4479888531697699785e-19
12,104.0,2.7916934755887041355e-09,1.08969485536654578156e-14,1.1348612583693673966e-19,1.39585116104234730035e-08,1.4440188865622988439e-19
13,112.0,2.0681754171436332763e-09,1.87530519541942442e-14,1.3062458093728817372e-19,1.0340875453518210002e-08,1.2864609996195725854e-19
14,120.0,1.5649293087490903006e-09,1.0347335961871419648e-14,1.3625936678164178121e-19,7.82466691409952011e-09,1.4135909334143715141e-19
15,128.0,1.2056015384079956699e-09,7.3324719980136753017e-16,1.2250213999665318654e-19,6.028004425959707801e-09,1.3508190275235963142e-19
16,136.0,9.438507523979972478e-10,9.74013031560095104e-15,1.463996798394087042e-19,4.7192938206693000978e-09,1.5405567432773479751e-19
17,144.0,7.492192473363391293e-10,2.0808381541756768327e-14,1.3352533265744873401e-19,3.7460677728706599142e-09,1.3699565147819219175e-19
