,N,4R,B2,BT,E2,ET
0,8.0,7.531465548721913e-05,0.00017184920851115448,3.0878077872387166e-16,0.004583265616466804,1.0962639216544057e-16
1,12.0,1.0250160833571933e-05,2.620375428596944e-05,1.5496863052059476e-16,0.0006620670019984716,1.3231081289744864e-16
2,16.0,2.7270454749202055e-06,7.350549587087363e-06,3.2395960913866872e-16,0.00018132147522788582,1.4603610340316667e-16
3,20.0,1.010272438942035e-06,2.808057240688555e-06,4.610894999146353e-16,6.833259550259906e-05,1.5043348511323272e-16
4,24.0,4.5628914676222165e-07,1.2939764495641566e-06,3.4954678040932663e-16,3.121305769000732e-05,8.3119907802696e-17
5,28.0,2.3517806733922123e-07,6.764407454094647e-07,2.631823330696242e-16,1.621716239711877e-05,1.2193070391221676e-16
6,32.0,1.3320985991686587e-07,3.872014659456191e-07,1.708702623837155e-16,9.240885179139175e-06,1.4008199117956097e-16
7,36.0,8.098969539507294e-08,2.373330669522586e-07,3.122502256758253e-16,5.644446326965811e-06,1.3957206732383355e-16
8,40.0,5.2030316057169805e-08,1.534586476614752e-07,1.7642137750684129e-16,3.6396101221369965e-06,1.390644869224411e-16
9,44.0,3.493326920417068e-08,1.0357665899205705e-07,1.97758476261356e-16,2.451037536638486e-06,1.313235197604516e-16
10,48.0,2.4316642323271537e-08,7.24148480762965e-08,1.8070036208091741e-16,1.7104318344917162e-06,1.2191731080396006e-16
11,52.0,1.7443857841933102e-08,5.2139770753049184e-08,1.7654147374748584e-16,1.229604912414988e-06,1.1572750301488844e-16
12,56.0,1.2836506900268929e-08,3.8487995041025513e-08,1.913152176362993e-16,9.064834454890223e-07,1.1408716894270668e-16
13,60.0,9.654775180659519e-09,2.902779670336623e-08,2.4586814066177944e-16,6.828676474470924e-07,1.1035554221981868e-16
14,64.0,7.4004043028666986e-09,2.2303642179671845e-08,1.8745855562274372e-16,5.241495476850506e-07,1.247097460852143e-16
15,68.0,5.767515259144332e-09,1.741746752381701e-08,2.41840861062649e-16,4.089780793385817e-07,1.1516809030969287e-16
16,72.0,4.560983876074569e-09,1.380100157612042e-08,2.0373363490083167e-16,3.2377553083989716e-07,1.1257622332826427e-16
17,76.0,3.6540563127455506e-09,1.1074326730496265e-08,3.0987639355080436e-16,2.5965015713123474e-07,9.689331770435781e-17
18,80.0,2.9619072699536103e-09,8.989430477779337e-09,3.0227556568895864e-16,2.1064250727867786e-07,1.243465305223769e-16
19,84.0,2.4258253663478602e-09,7.374497906511462e-09,2.1741867565575981e-16,1.7267369188111913e-07,9.518455669436581e-17
20,88.0,2.0060866688550475e-09,6.105173250786128e-09,2.229119666630197e-16,1.4288289896173682e-07,1.2975839124488912e-16
21,92.0,1.6732034134836931e-09,5.098128774211582e-09,2.15030288261299e-16,1.1925161076734594e-07,1.2814174961618395e-16
22,96.0,1.406566651067603e-09,4.290850621572566e-09,2.5543803183758484e-16,1.003082435895919e-07,1.1600425222815438e-16
23,100.0,1.1909897537836223e-09,3.6357302213296804e-09,2.836619827917275e-16,8.49831177425866e-08,1.3748509622435456e-16
24,104.0,1.0151123653404838e-09,3.101783266132521e-09,2.5413698923060224e-16,7.247564376069386e-08,1.257188646254579e-16
25,108.0,8.707302367142467e-10,2.663808951197666e-09,1.7925475918427006e-16,6.218577585584037e-08,1.3564308621377044e-16
26,112.0,7.510683572523064e-10,2.299989260553684e-09,1.9658134247408603e-16,5.365859073928428e-08,1.335484250749547e-16
27,116.0,6.511326650543684e-10,1.993880600855587e-09,2.1941261068561821e-16,4.6546316493063424e-08,1.1481818811195566e-16
28,120.0,5.674081994756607e-10,1.7388105844062807e-09,3.3699894726642775e-16,4.0573066186355285e-08,1.0714519147814389e-16
29,124.0,4.964484432208316e-10,1.5235107405033436e-09,2.659163212207028e-16,3.5529556738156476e-08,1.1582193056897966e-16
30,128.0,4.364248485151433e-10,1.340166739735582e-09,2.9674613460928256e-16,3.12455227900564e-08,1.285235384000064e-16
31,132.0,3.85119420778839e-10,1.1836452710223603e-09,2.415471021852554e-16,2.7588198052675648e-08,1.1702436779168527e-16
32,136.0,3.414689234135027e-10,1.0490260327067347e-09,3.138829065943917e-16,2.4447266121487516e-08,9.978242593144667e-17
33,140.0,3.0334680721127683e-10,9.3181336297781e-10,2.654126918244515e-16,2.1747049640861437e-08,1.1578781038114914e-16
34,144.0,2.708127519942094e-10,8.324268481309084e-10,3.091662728296443e-16,1.9405833153031988e-08,1.1839582884033313e-16
35,148.0,2.4225124931017097e-10,7.460561387892303e-10,2.594583707042068e-16,1.737064139082983e-08,1.0398787171031372e-16
