,N,3R,B2,BT,E2,ET
0,8.0,8.546982566137729e-15,5.595524044110789e-14,5.941427905220564e-17,5.29628424450479e-14,5.457873736292029e-16
1,12.0,4.022605294130278e-14,1.703267156945761e-14,5.4354668913939954e-17,9.419394276911753e-14,1.0622330240200667e-15
2,16.0,1.7604732775733378e-14,2.531308496145357e-14,4.597017211338539e-17,3.173275444495749e-14,5.808087978663792e-16
3,20.0,2.0677737300189848e-14,2.5152102622882923e-14,5.84601811404184e-17,3.545741478205855e-14,7.475972965687028e-16
4,24.0,1.0853411469455185e-13,2.1973164029039555e-14,7.040086106672543e-17,2.1433481918310527e-13,1.006849868878616e-15
5,28.0,1.254690998004619e-13,2.151453618434321e-14,7.5832197664129e-17,2.5157115619703294e-13,8.974835927478302e-16
6,32.0,4.657843663720407e-14,2.3311214070176334e-14,5.2150124496552763e-17,7.870254740884736e-14,8.3182404716987575e-16
7,36.0,4.6046028786865755e-14,1.747059287361531e-14,5.92697187625409e-17,7.252105485254239e-14,1.038693641461748e-15
8,40.0,5.665832386592129e-14,1.9567680809018384e-14,6.271025365656157e-17,8.856488459274559e-14,8.384119136797818e-16
9,44.0,1.470415507152136e-13,2.4048944653869017e-14,7.049285397833025e-17,2.8329604085431886e-13,1.040045330542044e-15
10,48.0,2.5812003881391666e-13,1.4351945557914785e-14,7.293066613585826e-17,5.273116972327483e-13,8.654628783502033e-16
11,52.0,2.4902471887794216e-13,2.1670699422971804e-14,6.805453636524398e-17,4.712904603824104e-13,8.514376851336109e-16
12,56.0,2.852362064149051e-13,2.1833725303922944e-14,6.021968638033773e-17,5.628345391588983e-13,8.598047619203495e-16
13,60.0,3.4605460986481806e-13,1.8836783984473488e-14,7.048759724052426e-17,6.727880310477388e-13,7.725778928639275e-16
14,64.0,9.760218180269575e-14,2.5712071360928235e-14,4.30970363562988e-17,1.4134763373857898e-13,9.620759562987545e-16
15,68.0,1.9602364685884902e-13,2.034646960717456e-14,6.046021526566225e-17,3.9488646369152063e-13,9.585462081502045e-16
16,72.0,3.861636019526548e-13,2.9067797551678926e-14,6.669048029866391e-17,7.581923462595894e-13,9.379847935744284e-16
17,76.0,3.6364482776910015e-13,2.3977895692364896e-14,7.427355514248066e-17,7.097255821143192e-13,8.94538524469352e-16
18,80.0,1.2373666327669675e-13,2.4263924203182797e-14,6.210310043996969e-17,1.7797703935618082e-13,9.20646954396913e-16
19,84.0,5.553541207240728e-13,2.0996432106184806e-14,5.83610540846483e-17,1.0924824558809458e-12,9.288533160912677e-16
20,88.0,3.8429954400143294e-13,2.1643040894823364e-14,6.245004513516506e-17,7.52835487647943e-13,9.83941900272759e-16
21,92.0,4.2568723726804945e-13,2.1152162147423634e-14,7.16139104539121e-17,8.274035206191761e-13,8.755520491035626e-16
22,96.0,3.6734332712135434e-13,2.366625414159292e-14,5.645079311407859e-17,7.086144395309714e-13,1.0214609362460278e-15
23,100.0,3.7660998386535025e-13,2.6082469517518803e-14,5.998673779927799e-17,7.235655667958696e-13,8.482948649080057e-16
24,104.0,3.747766051580292e-13,2.6992297286199118e-14,6.625309275557575e-17,7.305591988889643e-13,9.103316785352985e-16
25,108.0,7.408711036205759e-13,2.292199352138124e-14,5.910909621846899e-17,1.4479009623842657e-12,1.0262052937433328e-15
26,112.0,7.521924088399852e-13,2.7015096509026242e-14,6.542385680826816e-17,1.4491268962483703e-12,8.935580321359411e-16
27,116.0,6.955978758629436e-13,2.272798807394275e-14,6.125368411725002e-17,1.3479427180547088e-12,9.682207108818539e-16
28,120.0,4.1606309537048874e-13,3.1030733538273125e-14,6.042620107985878e-17,8.10177576647068e-13,8.675299218387377e-16
29,124.0,7.940414304986725e-13,2.298072126859185e-14,5.948422757946277e-17,1.5636247191079833e-12,8.35836127820092e-16
30,128.0,1.9950138736955921e-13,2.4515112162504238e-14,5.795060611935021e-17,2.845555906926195e-13,9.541923857393648e-16
31,132.0,7.806316793830638e-13,2.862525031825195e-14,6.828502409981432e-17,1.523807196632687e-12,1.0345080870642108e-15
32,136.0,9.716374537792138e-13,2.5877992559277546e-14,6.854708794043648e-17,1.8656776253905416e-12,9.724904193404033e-16
33,140.0,1.2988310719296884e-12,2.647485405507918e-14,6.386260567988903e-17,2.5549907439181612e-12,8.703119096288315e-16
34,144.0,1.2049355369803611e-12,2.527916148014558e-14,6.550990459973525e-17,2.3475968159224844e-12,9.289720283853426e-16
35,148.0,6.300300396431031e-13,2.2551030112352334e-14,6.514589918566956e-17,1.1971962200148953e-12,1.063295921500275e-15
