,N,3R,B2,BT,E2,ET
0,8.0,3.1916309872759285e-14,6.6058269965196814e-15,6.505213034913027e-17,5.1790169375287576e-14,3.3438150252168564e-16
1,12.0,4.756251976629684e-14,9.96425164601078e-15,7.806255641895632e-17,8.921130295397112e-14,3.2767601325213293e-16
2,16.0,8.946879695437282e-14,7.452372052796363e-15,5.117434254131581e-17,1.6157832450486298e-13,2.737085325098601e-16
3,20.0,5.490718990586174e-14,1.0746958878371515e-14,6.661338147750939e-17,1.0315487353196317e-13,3.392260430890026e-16
4,24.0,2.128180926239429e-13,1.0810796702287462e-14,5.782411586589357e-17,4.24023470656386e-13,2.945041952558536e-16
5,28.0,9.563122888330798e-14,1.5495541357982543e-14,5.1793886639878956e-17,1.9447006768125682e-13,3.3551663532829407e-16
6,32.0,9.751352286410664e-14,7.070732888081466e-15,3.642919299551295e-17,2.0378406536021576e-13,2.5333707249103896e-16
7,36.0,3.293122852218649e-13,7.682126539836847e-15,6.418476861114186e-17,6.426764318102189e-13,2.88416071004219e-16
8,40.0,3.854064636876764e-13,1.1568523916594131e-14,5.186823193170653e-17,7.42706111889202e-13,3.8892456963313115e-16
9,44.0,2.106816317947798e-13,1.3310060124767502e-14,4.904536372988973e-17,4.069417761693241e-13,2.8274345176157606e-16
10,48.0,3.343795609966842e-13,1.131733595727269e-14,4.886137790668007e-17,6.475771163518459e-13,2.717539726124802e-16
11,52.0,2.5056049633823665e-13,8.627713927904342e-15,5.5244270696492165e-17,5.108553101604484e-13,3.088158413385076e-16
12,56.0,3.4972106195737957e-13,1.2428550252455547e-14,4.931571024562637e-17,6.817550553087964e-13,2.880711441963995e-16
13,60.0,7.088870375478225e-13,1.0946799022804043e-14,5.2273000742767786e-17,1.4119183569219176e-12,3.061428746825784e-16
14,64.0,5.300053608882707e-13,8.758618830206899e-15,4.824699667560495e-17,1.0384881753226207e-12,2.541703146831208e-16
15,68.0,3.5787695573128005e-13,1.2112859734844172e-14,7.14297901872803e-17,6.973883258763259e-13,2.706408557148699e-16
16,72.0,9.022534811420773e-13,1.5142208474748662e-14,5.18489572264179e-17,1.7822948198697566e-12,3.262630693432516e-16
17,76.0,1.245985914859428e-12,1.256597165503368e-14,6.674120320731821e-17,2.4639985504800398e-12,3.140993681257857e-16
18,80.0,2.430776066542073e-13,1.0005885009434223e-14,5.2909066017292616e-17,4.796860807870785e-13,2.9341036300893283e-16
19,84.0,6.706573607060225e-13,1.6127311126757333e-14,6.195440985631454e-17,1.326480075794409e-12,3.261470698499745e-16
20,88.0,1.4727435161576532e-12,1.5159590754427136e-14,6.962549224034184e-17,2.877321743560868e-12,2.709038530518991e-16
21,92.0,1.662713346810781e-12,1.3402322729877162e-14,6.803132936222087e-17,3.274916298633019e-12,3.597873893880387e-16
22,96.0,1.0840689388458968e-12,1.4341537217058924e-14,5.471606963810179e-17,2.1456740381427504e-12,3.7844240943240063e-16
23,100.0,9.54456120361158e-13,1.3896661599233085e-14,5.551115123125783e-17,1.8800402796781413e-12,3.200986975482323e-16
24,104.0,1.1198541063226266e-12,1.707608413644616e-14,5.5110830429109334e-17,2.227341367208443e-12,3.024401530194925e-16
25,108.0,1.433505341948189e-12,1.0702344360530097e-14,5.981583541238546e-17,2.842095426031823e-12,2.840907457795978e-16
26,112.0,2.228306992618758e-12,1.39184299006802e-14,5.935232464234933e-17,4.3891709423867445e-12,2.835498514835971e-16
27,116.0,1.2882284637822822e-12,1.2553176888778925e-14,5.898059818321144e-17,2.499689901814379e-12,2.8640658940195304e-16
28,120.0,1.295100961530211e-12,1.8269645056060806e-14,6.140921104957897e-17,2.568962019705784e-12,2.9653373338034725e-16
29,124.0,1.2818720467743432e-12,1.722725904581664e-14,6.071532165918825e-17,2.5379988789596676e-12,3.4222263825873207e-16
30,128.0,2.1035718070664213e-12,1.1580146563883176e-14,5.3830637863905295e-17,4.152177775089731e-12,2.9824616378442093e-16
31,132.0,1.4370853510888466e-12,1.3342021090627923e-14,6.039991739082883e-17,2.808498892418824e-12,2.8699951322986493e-16
32,136.0,1.64510201170463e-12,2.1417508289754122e-14,6.046021526566225e-17,3.2838652613818912e-12,3.103802541578785e-16
33,140.0,1.2131155891941015e-12,1.7193389569212872e-14,5.263646661392483e-17,2.334422455794364e-12,3.174396269310714e-16
34,144.0,2.724406236455228e-12,1.8460541737239408e-14,5.584845857380887e-17,5.3607205086822974e-12,3.388879432117668e-16
35,148.0,1.9808267036964224e-12,1.326866544565525e-14,5.4526578447595313e-17,3.932387690486775e-12,3.4195464361966777e-16
