,N,3R,B2,BT,E2,ET
0,8.0,4.2339873604748182179e-16,3.1340219048409112546e-16,3.1340219048409112546e-20,9.0030335752689164e-15,3.2382148982870707053e-17
1,16.0,4.255437411072849306e-16,3.1281604368459114962e-16,2.8587361969832636444e-20,8.949062488754444501e-15,3.2359347749285682845e-17
2,24.0,1.9639181307080189362e-14,2.0725924954866544365e-15,3.28931127850419965e-20,4.9271433175851498127e-14,3.234901286280348837e-17
3,32.0,4.0998551934145674707e-16,3.0882313037123437782e-16,2.265813133905253407e-20,8.891536226289333992e-15,3.2309756668900692015e-17
4,40.0,4.7886274481302726346e-16,3.1041385824617795386e-16,3.1340219048409112546e-20,8.920495788035777765e-15,3.2419897085574433752e-17
5,48.0,8.437615689573676268e-15,4.116567700506006585e-15,2.795208725939191119e-20,2.7841228116650860395e-14,3.2381793846661050954e-17
6,56.0,3.4756363624597786018e-15,2.6235853302606597965e-15,2.2446373102238958985e-20,3.238790239304520756e-14,3.239964672263649204e-17
7,64.0,5.1693945307513854213e-16,3.095109211244048697e-16,2.4352197233561134748e-20,8.96250572549926035e-15,3.2338349071502382396e-17
8,72.0,5.992047281999653817e-15,5.3178445082064744e-15,3.016378439944480652e-20,5.3595305351191235407e-14,3.2415233080198934886e-17
9,80.0,5.067756839036629754e-16,3.1225158092854088387e-16,3.070494433796838729e-20,9.0228820449588507425e-15,3.241002147881155911e-17
10,88.0,5.192045656901051927e-15,5.8141511945062290305e-15,2.5873006388858628538e-20,3.5151668906154240458e-14,3.2402827322357546305e-17
11,96.0,1.2955881416029746488e-14,7.4829431659286654854e-15,3.2010786798318766982e-20,6.774510261253889576e-14,3.240060885857878339e-17
12,104.0,1.4168222941282234091e-14,9.279213098355058971e-15,2.5020050134280871554e-20,6.5700463212882346454e-14,3.2386864511757587115e-17
13,112.0,1.0798382023135451919e-14,5.21960820841766466e-15,3.2187251995663412885e-20,4.9428049063401033416e-14,3.2384276066963663385e-17
14,120.0,1.3538781190680965348e-14,9.6874073975301844275e-15,2.831913486986877467e-20,6.413288828872461003e-14,3.2402332676076655833e-17
15,128.0,5.977688601938890502e-16,3.1093520702521297572e-16,2.1175823681357508477e-20,8.782124692530245272e-15,3.2380666602511591002e-17
16,136.0,1.4967772977580035988e-14,9.974167312644143703e-15,2.6058719494941122196e-20,6.773334953119632398e-14,3.2408372027274634896e-17
17,144.0,6.0763570596254829815e-15,5.317509459618449366e-15,3.065788695200981505e-20,5.3747290597398287815e-14,3.237441230473289606e-17
