,N,4R,B2,BT,E2,ET
0,13.0,159.7310242538352,76.10539272163155,1.457733491213741e-17,3865.438714092649,7.105427357601002e-16
1,15.0,17.544042798092566,9.392814098470968,5.1225045786540706e-17,69.20034548563353,8.723180907769087e-17
2,16.0,4.143583739725572,2.867446129229094,1.5320153971316143e-17,8.538285972676507,6.245004513516506e-17
3,17.0,0.7922429339025655,0.3487371754104132,2.3759083426877213e-17,0.04496882083696192,2.312964634635743e-17
4,19.0,2.8651296448088424,0.9026301233164188,8.091259068606386e-17,0.9582550779401913,3.0949043832768034e-17
5,20.0,2.7636996927222146,0.9462932836182679,9.765557223209783e-17,0.8959083081671477,4.307896632009071e-17
6,22.0,2.1760680675985453,0.7933993289524038,1.8994750290950678e-16,0.7797292494287316,4.4204471432480425e-17
7,24.0,1.6093652174886293,0.6013059192451752,4.966122953420681e-16,0.6511219896084184,2.894819800536297e-17
8,26.0,1.1827833880287246,0.44735210194262515,6.239290128119494e-16,0.5235921963849292,2.737008150985629e-17
9,28.0,0.8779537748466663,0.3343707072299535,5.324064023429672e-16,0.41352987279691966,2.8102520310824274e-17
10,31.0,0.5774317617886333,0.221195330368803,4.815055359848483e-16,0.28851958481911555,2.7303039056678443e-17
11,33.0,0.44527398948123914,0.17095911216317114,4.3071128654881673e-16,0.22818035016842309,3.150257832373882e-17
12,36.0,0.3098183923469183,0.11921135543103373,1.8199590925680624e-15,0.16286236204624693,2.6020852139652106e-17
13,39.0,0.2219440574347344,0.08551250046663915,2.121935061916496e-15,0.11858637093233185,2.3838458089229672e-17
14,43.0,0.14790166917534267,0.05704513469211335,2.040622626564146e-15,0.0801070145243544,2.5673907444456746e-17
15,47.0,0.10232477857518064,0.039490704639928396,2.5101460689681438e-15,0.05588432900058917,2.3574447237633532e-17
16,51.0,0.07304756172653994,0.02820229931121396,3.074299047109708e-15,0.040107636542814004,2.3398595722477865e-17
17,55.0,0.053548357450617326,0.020679016082924842,3.976650180091011e-15,0.02950564079626173,2.1038135772484682e-17
18,60.0,0.03748487675941759,0.014478446920296172,4.171163143895965e-15,0.020714825000595384,2.3418766925686896e-17
19,65.0,0.027028380978107502,0.010440859313186985,8.740558912924466e-15,0.014964774551630174,2.373832125020894e-17
20,71.0,0.01886221977498857,0.007286945404137393,4.5176029302692676e-15,0.010458957807912641,2.544261098099317e-17
21,77.0,0.013564857865561965,0.005240702646434969,1.384579791246146e-14,0.007528886654349767,2.5140919941692857e-17
22,84.0,0.009532196434996297,0.003682831271685589,1.3267535883510444e-14,0.0052945536177580865,2.5838249668496654e-17
23,91.0,0.006894708485533711,0.002663868956909417,9.328736229501303e-15,0.0038314496421830544,2.800637900974604e-17
24,99.0,0.0049053700179893115,0.0018952810078828887,1.0005873085487382e-14,0.002726960957027781,2.501051868661067e-17
25,108.0,0.0034532548608011394,0.0013342368444753823,1.6556213746932384e-14,0.0019202304701649818,3.00454106039183e-17
26,117.0,0.002501326177232363,0.0009664412901782318,2.222430106120937e-14,0.0013911462007204752,2.890144800343011e-17
27,127.0,0.0017981010030486667,0.0006947348325517285,1.6443033519608198e-14,0.0010001715366142914,2.5481484336197132e-17
28,138.0,0.0012875059255804437,0.0004974546832118706,2.108714743235021e-14,0.0007162295054947814,2.6901557904378793e-17
29,151.0,0.0008967243340564562,0.00034646713956018496,1.9993403591995256e-14,0.0004988786939865195,2.5911673739066153e-17
