,N,4R,B2,BT,E2,ET
0,13.0,3602.41274384237,1640.0612577605998,1.1161937542728024e-18,1744855.3276215221,2.1316282072803006e-14
1,15.0,308.3765876208799,137.71965439759953,2.1833605919945505e-18,12443.565110354024,2.6645352591003757e-15
2,16.0,116.02113648994145,51.04132165822175,5.5698625031622134e-18,1749.2808371463284,4.996003610813204e-16
3,17.0,50.24935149228751,21.72129424561474,7.062388100916587e-18,333.0656561800513,2.886579864025407e-16
4,19.0,13.303026576905882,5.548342500700057,6.0316790516699874e-18,27.345832110525393,7.533656238527848e-17
5,20.0,7.8211089582365165,3.212595987388744,3.262879114488123e-17,11.046452030613644,3.8163916471489756e-17
6,22.0,3.24553412172564,1.3033768633467935,6.462648138248785e-17,2.908562669581961,3.469446951953614e-17
7,24.0,1.5892563864319786,0.629614660592266,8.984498075520624e-17,1.1406001653590283,2.1973164029039556e-17
8,26.0,0.8657851666078678,0.3403237736811526,1.7585866313207227e-16,0.5558641970874575,3.023375200988149e-17
9,28.0,0.5075846155886814,0.19862231119464507,9.369857060171864e-17,0.3072206530829301,2.949029909160572e-17
10,31.0,0.2511680612523483,0.09793289574985599,3.6790874648160303e-16,0.14549407257139876,2.921639538487254e-17
11,33.0,0.16502359070679734,0.06426166585560145,5.145102397564463e-16,0.09416427468482103,3.0729387288732013e-17
12,36.0,0.092998983326366,0.03617416835449151,4.204580319730788e-16,0.052396132819212356,2.1394922870380622e-17
13,39.0,0.055355871226862634,0.021518895630167872,6.83537448278814e-16,0.03098022035483912,2.4157630628417757e-17
14,43.0,0.02965432478718379,0.011522751753211283,1.125276753670779e-15,0.016520587868030345,2.9098587338965795e-17
15,47.0,0.016903103427313736,0.006566530446364143,1.3006747641468635e-15,0.009395531309042873,2.4781763942525817e-17
16,51.0,0.010131830728232118,0.003935514189448944,1.9483699920914684e-15,0.005625008093526389,2.8289336685160237e-17
17,55.0,0.006331817412452571,0.0024592799904987026,1.1331948237468835e-15,0.003512964760852773,2.5173661604872734e-17
18,60.0,0.003694713078520619,0.0014349415685320083,2.209320331013406e-15,0.002048929075711812,2.6020852139652106e-17
19,65.0,0.002256387702131154,0.0008762962623328617,3.199438242013423e-15,0.0012509871871611345,2.278051960905392e-17
20,71.0,0.0013126274198293102,0.0005097604793235088,6.833587788684096e-15,0.0007276320785590009,2.5050583076817622e-17
21,77.0,0.000799319532908759,0.00031041080647579923,5.455511234584901e-15,0.0004430518486667944,2.4766513626253493e-17
22,84.0,0.0004702648157703691,0.00018262164799781908,9.422119222463634e-15,0.000260648020739289,2.8044696194958383e-17
23,91.0,0.00028902433091224333,0.00011223793832221483,8.039832322873773e-15,0.00016018982965205076,2.731640511538162e-17
24,99.0,0.0001733165970053123,6.730406004136827e-05,1.1723502435427939e-14,9.605812905274524e-05,2.7117516406074227e-17
25,108.0,0.00010230737219045956,3.972879569347221e-05,8.276006279936815e-15,5.670188259774648e-05,2.7466455036299447e-17
26,117.0,6.304072453592164e-05,2.4480389099713044e-05,2.111652226697091e-14,3.493899012537979e-05,2.7292982688701764e-17
27,127.0,3.840798855235081e-05,1.491485867177057e-05,2.2717706608395783e-14,2.1286793158912517e-05,2.1118372751022e-17
28,138.0,2.3264184866731176e-05,9.033794190748882e-06,1.6390027494468443e-14,1.2893671730678729e-05,2.6378810952155256e-17
29,151.0,1.3518615979601592e-05,5.2497762815946975e-06,2.268142492896266e-14,7.492411214159282e-06,2.6657333415010504e-17
