,N,4R,B2,BT,E2,ET
0,13.0,5035.530992776828,1367.6205937174982,2.2172268484758053e-32,3040283.33725882,2.1316282072803006e-14
1,15.0,422.79467158697037,116.39177429821902,1.5401019788616595e-31,21241.158582913133,1.1842378929335002e-15
2,16.0,156.67909957826262,43.59354674030476,3.4239122366005517e-31,2932.065975533592,6.106226635438361e-16
3,17.0,66.66829327096985,18.78260940880919,2.2017712606720975e-31,544.8261324181863,1.7763568394002506e-16
4,19.0,17.024394532436663,4.921044673570394,3.509147533491993e-31,42.011812861804955,7.137148015447435e-17
5,20.0,9.856104348874016,2.880601147492732,5.984556468284906e-31,16.423559959595295,4.163336342344337e-17
6,22.0,3.9978085364970037,1.1877841649434793,2.8955189118833305e-30,4.0952088810709375,2.7755575615628914e-17
7,24.0,1.9308957632153134,0.5794309977276927,2.1986477684296086e-30,1.5506138218253216,2.949029909160572e-17
8,26.0,1.043590522160655,0.31497631310517604,1.3169274881850563e-29,0.7403751371341024,3.5190104798386656e-17
9,28.0,0.6090233310757007,0.18443148716624488,1.2573426683005512e-29,0.40440107355123134,2.949029909160572e-17
10,31.0,0.3002634318677405,0.0911722009977068,1.5321236768022915e-29,0.18974514021174033,2.6659960788696193e-17
11,33.0,0.19702024948825514,0.05988113181470408,2.9484292623052605e-29,0.1223967490378823,3.0398963769498337e-17
12,36.0,0.1109023480142744,0.03373554521183832,2.525317309980749e-29,0.06790986043874703,2.0527561132392218e-17
13,39.0,0.06597052034149008,0.02007704050412464,1.4231380969076973e-28,0.040090386852446376,2.6984587404083666e-17
14,43.0,0.03532434391233396,0.010754028824398397,7.93219549725009e-29,0.02135500048677067,3.0217763775079863e-17
15,47.0,0.020130056662344725,0.0061294502078169,1.0858102157296748e-28,0.01213790078427795,2.795382972716912e-17
16,51.0,0.012064344895459433,0.003673895605554325,1.2085384131137765e-28,0.007264454059869863,1.9571239216148594e-17
17,55.0,0.007538846802701299,0.00229592272470853,1.5263494197869028e-28,0.004535941790216007,2.0493942460377162e-17
18,60.0,0.004398716330962336,0.0013396820955324888,1.9767547258273066e-28,0.002645176604136004,2.4575249243004766e-17
19,65.0,0.002686201931788387,0.0008181439829831023,2.8566660105641353e-28,0.0016148780407276018,2.422066740043089e-17
20,71.0,0.001562608135879367,0.0004759414421926775,9.928769847641848e-28,0.0009392199710786709,3.2107085351977515e-17
21,77.0,0.0009515197348112511,0.0002898209664253137,8.195876563362749e-28,0.0005718595552513074,2.6367796834847467e-17
22,84.0,0.0005597969847093508,0.00017050992419461976,9.481364493668185e-28,0.0003364130407946253,2.862293735361732e-17
23,91.0,0.00034404536180726375,0.00010479491169883612,2.840806864157192e-27,0.00020674822347569922,2.5998893614639742e-17
24,99.0,0.00020630782639542976,6.28411768372032e-05,1.4940935805361088e-27,0.00012397423014186778,2.504382397502149e-17
25,108.0,0.0001217804730676691,3.709458943267768e-05,3.923356289347546e-27,7.317908202944534e-05,2.855065720878495e-17
26,117.0,7.503921244917732e-05,2.2857309382828826e-05,3.9216856041693424e-27,4.5091428889150403e-05,3.205108136566672e-17
27,127.0,4.571781838758253e-05,1.3926032565224767e-05,2.8515020396759026e-27,2.7471916557608712e-05,2.2264798700363195e-17
28,138.0,2.7691669248441373e-05,8.434873961900048e-06,8.270664899768474e-27,1.6639918733466675e-05,2.6103458019460526e-17
29,151.0,1.6091301276486423e-05,4.901761060317487e-06,7.0103447288676e-27,9.669243491536607e-06,2.6407732914869955e-17
