,N,Gyzz,dxGyzz,3R,B2,BT,E2,ET
0,9.0,124.18433941029038,941052.612748615,16884.005430486835,14613.015930543721,8.185202263645752e-34,893043581.9060241,4.547473508864641e-13
1,10.0,54.00664534218865,117443.60140925099,3127.4868519877773,2704.3607494788444,7.101866669927932e-34,30653170.681230463,1.4210854715202004e-13
2,11.0,27.057514426242538,21018.970093311098,756.1821518367499,652.4490187233474,8.827178911774831e-35,1794343.374563528,1.4210854715202004e-14
3,13.0,9.053441721972883,1365.5943198324883,71.8825587422804,61.26080305633577,2.084217311691562e-33,16456.109989584624,2.3092638912203257e-15
4,14.0,5.792960539042467,436.7940640679462,25.0182163938382,20.9963912199813,6.148932582861331e-33,2052.028560681486,4.440892098500626e-16
5,15.0,3.8919674933882606,152.2934952631696,8.594460299340282,6.975413981235077,1.3024961039072428e-32,262.18843661823325,4.123685520036296e-16
6,17.0,1.9638949311178997,19.266072092248265,0.13507694186411034,0.13034697090868028,4.3104385204979256e-33,0.5547635736092095,9.868649107779169e-17
7,18.0,1.4569466296657732,5.417850991338959,0.7189120111160017,0.8088379045985581,3.46596672249557e-32,0.8641858014435093,1.4970663597679845e-16
8,20.0,0.8562528278626339,1.9708536900976599,0.9926531705884478,0.9713650011538688,2.2816180780251485e-32,0.330223608033499,1.1160054362117458e-16
9,22.0,0.5389447501962488,2.5779525907449923,0.8142337383901577,0.7763552006900698,3.894563247551144e-32,0.7162574649156493,7.533656238527848e-17
10,24.0,0.3575517660059655,2.105078407947887,0.6119827842283051,0.5776338419813286,5.215388666942994e-32,0.9215354245282927,9.259086553026208e-17
11,26.0,0.24728856457588597,1.5817624278579772,0.4534205310588443,0.42581599093538813,1.6553754479039228e-31,0.9058709364404941,1.1494952366507425e-16
12,29.0,0.15123118943318292,1.011437444406003,0.2933492209142149,0.2744354942464645,1.386600955869459e-31,0.7319496617599134,1.2217409623665227e-16
13,32.0,0.0979802451510575,0.6615562156607643,0.1958168162711818,0.18284164760415175,1.652456003195269e-31,0.5479635118995172,1.0422796884827316e-16
14,35.0,0.06641437763950997,0.447203524479256,0.13504331720692064,0.1259621219901601,2.92934571471619e-31,0.4034200391720396,1.0613937712272908e-16
15,39.0,0.041799871003042596,0.2787518054790583,0.08612660321455824,0.08027279883500987,7.679593901157329e-31,0.27039361633731485,9.591342057497572e-17
16,43.0,0.027665311957884426,0.18248594767636056,0.057432895420015354,0.053507032609660346,6.883377279690392e-31,0.18543669974097335,8.891696902578263e-17
17,47.0,0.019060821891732034,0.12445418255787435,0.039750010489653244,0.03702404189872392,9.060824991485195e-31,0.13052990852545948,1.0612949265847851e-16
18,51.0,0.013571193868452005,0.08782190426024214,0.02838334466383263,0.02643310517533467,1.2811414102545885e-30,0.09420824576239678,9.92423197884406e-17
19,57.0,0.008571659321452431,0.05485793920546765,0.017973906469440314,0.016736911068834428,1.5086792485839607e-30,0.06024009810436694,8.694858891834772e-17
20,62.0,0.006068215357531452,0.03854974372616808,0.01274096573772006,0.011863479692941294,2.5039023571491495e-30,0.042909231238880616,9.99714714303671e-17
21,69.0,0.003918233678709882,0.02468837718581339,0.008235943429708232,0.007668422370178212,3.365978421661762e-30,0.027852625619707597,9.430070567769004e-17
22,75.0,0.002789811486637787,0.017482061479010602,0.005867447476419246,0.0054630438382941935,4.513508430419906e-30,0.019886015276784158,1.0170140020353579e-16
23,83.0,0.001848463681920543,0.011517170604535673,0.003889498700293548,0.0036213856668058596,5.35102869050434e-30,0.013206281181068888,9.196347387311714e-17
24,91.0,0.001273327976308379,0.007898988486347977,0.0026800895401329606,0.002495336477079518,3.989245333292159e-30,0.009109984210364862,8.619276644491991e-17
25,100.0,0.0008697399020232381,0.005374901013312674,0.0018309912719601167,0.0017047716254491494,5.0532482029254026e-30,0.0062286270738422566,8.552940964163909e-17
26,111.0,0.0005708732769476961,0.0035155993734564805,0.0012019901734441655,0.0011191336434706054,9.569019421510662e-30,0.004091259762425833,9.86266084982542e-17
27,122.0,0.00039015439450810005,0.002396364504641903,0.0008215538932805821,0.0007649243926308586,4.928205004429685e-30,0.002797328230041183,8.460581163536007e-17
28,134.0,0.00026748904234431505,0.0016393545826493695,0.0005632888597683943,0.0005244633693244096,6.387887581265161e-30,0.0019184090065705217,8.420292681804882e-17
29,147.0,0.00018436445542939958,0.0011278732904705846,0.00038825707361648447,0.00036149716479072746,1.2562729478743802e-29,0.0013225101623262861,1.0108820255692185e-16
