,N,Time
0,8.0,3.569500684738159
1,12.0,2.7768945693969727
2,16.0,3.4288861751556396
3,20.0,4.49361252784729
4,24.0,8.067146062850952
5,28.0,7.07494592666626
6,32.0,9.771833419799805
7,36.0,11.903709173202515
8,40.0,14.823122501373291
9,44.0,19.72333312034607
10,48.0,23.39247727394104
11,52.0,27.81672477722168
12,56.0,35.89940142631531
13,60.0,40.45318007469177
14,64.0,48.50394058227539
15,68.0,59.21334433555603
16,72.0,71.23090076446533
17,76.0,79.50866889953613
18,80.0,94.22483468055725
19,84.0,175.93416786193848
20,88.0,209.08911108970642
21,92.0,238.36578464508057
22,96.0,271.09851455688477
23,100.0,306.24667978286743
24,104.0,352.29428791999817
25,108.0,249.19318962097168
26,112.0,432.9073283672333
27,116.0,483.72190380096436
28,120.0,522.0311110019684
29,124.0,347.7507779598236
30,128.0,395.6399953365326
31,132.0,554.9910051822662
32,136.0,451.7755296230316
33,140.0,530.331137418747
34,144.0,564.1120779514313
35,148.0,603.7631950378418
