,N,Time
0,8.0,2.569779872894287
1,12.0,7.7456629276275635
2,16.0,3.926661491394043
3,20.0,9.275482177734375
4,24.0,11.984105825424194
5,28.0,7.383215665817261
6,32.0,9.297285556793213
7,36.0,12.145833253860474
8,40.0,15.880617141723633
9,44.0,19.817873239517212
10,48.0,23.767049551010132
11,52.0,28.48359966278076
12,56.0,34.70933723449707
13,60.0,41.676862478256226
14,64.0,50.70970177650452
15,68.0,58.227675914764404
16,72.0,69.59754300117493
17,76.0,83.24701261520386
18,80.0,97.89379572868347
19,84.0,178.98848795890808
20,88.0,199.71468544006348
21,92.0,229.68855381011963
22,96.0,264.3638639450073
23,100.0,297.4591212272644
24,104.0,339.99467492103577
25,108.0,239.48136472702026
26,112.0,443.0337200164795
27,116.0,483.1777241230011
28,120.0,552.6629583835602
29,124.0,362.9162030220032
30,128.0,401.23266100883484
31,132.0,435.04107880592346
32,136.0,498.0411217212677
33,140.0,514.8519823551178
34,144.0,548.2781596183777
35,148.0,586.1909871101379
