,N,Time
0,13.0,0.06817700862884521
1,15.0,0.18074576059977213
2,16.0,0.15358440081278482
3,17.0,0.08866663773854573
4,19.0,0.10276623964309692
5,20.0,2.3947197755177814
6,22.0,0.1122192104657491
7,24.0,0.14606951077779134
8,26.0,0.26388911803563436
9,28.0,0.19914873838424682
10,31.0,0.24674903154373168
11,33.0,0.2841908017794291
12,36.0,0.26877601146698
13,39.0,0.3097617030143738
14,43.0,0.5608800093332926
15,47.0,0.49725683927536013
16,51.0,0.5878234187761943
17,55.0,0.7395287990570069
18,60.0,1.3295484860738118
19,65.0,1.6774462501207987
20,71.0,2.210956641038259
21,77.0,1.8482367595036824
22,84.0,2.5055458108584086
23,91.0,3.033369716008504
24,99.0,5.876921204725901
25,108.0,7.707164899508158
26,117.0,6.567819289366404
27,127.0,8.183218725522359
28,138.0,10.380119105180105
29,151.0,20.470453095436095
