,N,Time
0,13.0,0.06443378130594889
1,15.0,0.14405122598012288
2,16.0,0.1609542449315389
3,17.0,0.0845847487449646
4,19.0,0.10325762430826822
5,20.0,0.11169840892155965
6,22.0,0.1024777889251709
7,24.0,0.14594707489013672
8,26.0,0.2517537951469421
9,28.0,0.24467150370279947
10,31.0,0.2513847907384237
11,33.0,0.3316571474075317
12,36.0,0.26025413274765014
13,39.0,0.3067226052284241
14,43.0,0.5612911621729533
15,47.0,0.5794027328491211
16,51.0,0.5901764353116353
17,55.0,0.7282748301823934
18,60.0,1.328757882118225
19,65.0,1.672324816385905
20,71.0,2.1683050115903217
21,77.0,1.9049230575561524
22,84.0,2.3898317416508994
23,91.0,3.0152837951978047
24,99.0,5.891087774435679
25,108.0,7.556804593404134
26,117.0,6.3866294622421265
27,127.0,8.273288404941558
28,138.0,10.592729298273722
29,151.0,20.639981691042582
