,N,B2/E2-1,E2/B2-1
0,13.0,0.5443340629254201,1.194590200048962
1,15.0,0.3594265066203138,0.2643956880860652
2,16.0,0.1832645758793709,0.22438671137191096
3,17.0,0.3401437327054566,0.5154815519144338
4,19.0,0.31849761017943423,0.467346285114704
5,20.0,0.2679830128806101,0.36608851651813223
6,22.0,0.17452365780083523,0.21142175599591867
7,24.0,0.10983882469691704,0.12339206398158062
8,26.0,0.06944002484667337,0.07462176184316532
9,28.0,0.04472387648093872,0.046817747643669985
10,31.0,0.024140896323617652,0.0247380961377221
11,33.0,0.016473199047645277,0.016749110478427406
12,36.0,0.009662619869813946,0.009756897057186445
13,39.0,0.00591366970365963,0.005948849233141273
14,43.0,0.0032513628965588786,0.00326196874069211
15,47.0,0.0018875576374486115,0.0018911272491310906
16,51.0,0.0011468535788970234,0.0011481703621860685
17,55.0,0.0007242007748940163,0.0007247256217508598
18,60.0,0.000426807389066373,0.00042698963139611856
19,65.0,0.0002626460053921999,0.00026271500643918085
20,71.0,0.00015386641429962538,0.00015389009281640358
21,77.0,9.420278477520686e-05,9.421165977590533e-05
22,84.0,5.569233186247185e-05,5.569543367104727e-05
23,91.0,3.435752674061488e-05,3.435870722082637e-05
24,99.0,2.0672042935893022e-05,2.067247027808403e-05
25,108.0,1.2238102324027786e-05,1.2238252097005372e-05
26,117.0,7.55805899797909e-06,7.558116122667138e-06
27,127.0,4.61386268101858e-06,4.6138839688480505e-06
28,138.0,2.7994019293024292e-06,2.799409765986112e-06
29,151.0,1.6292150012404266e-06,1.629217655586393e-06
