,N,4R,Bianchi_ID,B2,BT,E2,ET
0,13.0,7.535427230972806,3.9188750278224678,127.82151664459869,3.758820393064909,301.78650272709274,1.3322676295501878e-15
1,15.0,2.418152097651896,2.5861797079366706,19.531350947325343,1.3280406756786132,6.124485001349836,3.400058012914542e-16
2,16.0,1.503266825953991,2.3038445636278464,9.133949534744634,0.8429266007413888,1.979303846424866,3.0097452308197603e-16
3,17.0,0.9755170026391689,2.0986122954832087,4.721701254517393,0.5538690887386765,1.0414570853494047,3.275157922644212e-16
4,19.0,0.45290042193658886,1.7849478006586181,1.6073360540375004,0.2603177766536108,0.4653305922194289,1.149873846933198e-16
5,20.0,0.3206939161699044,1.65146712663735,1.0297040325426394,0.18485856856544428,0.33227509699075874,2.42861286636753e-16
6,22.0,0.17072202822233232,1.4111785017185128,0.4817014256607693,0.09868469978093737,0.17930889575782116,4.968248035197575e-16
7,24.0,0.09697091153472755,1.1999540080384308,0.2548371097107521,0.05610219908213522,0.10263598575470666,3.1456319031046104e-16
8,26.0,0.058015605156848206,1.0155951879644425,0.14650492455202382,0.03356716601659097,0.06168141513240321,2.953986261949077e-16
9,28.0,0.036224868646630055,0.8567139301334918,0.08939381133201343,0.020953950469952062,0.03862415036787181,3.651592916931179e-16
10,31.0,0.01908470690320394,0.6616918126725139,0.046233601779505876,0.011032993108405085,0.020404617299867766,4.871833930427497e-16
11,33.0,0.01291149666321045,0.5568224166589804,0.031069101546200635,0.0074612144520503874,0.01382178207455207,2.987028613872445e-16
12,36.0,0.007518164893065531,0.43055941771783063,0.017984843869830635,0.004342117713863802,0.008059388700013484,8.390279212141157e-16
13,39.0,0.004583714675917862,0.33419300509988153,0.010930088371053422,0.0026460396614645994,0.004918670454999037,5.445746734214599e-16
14,43.0,0.00251384959878216,0.24032490984457497,0.005980983832345264,0.0014503936363833927,0.00270021971655206,5.495156301320079e-16
15,47.0,0.0014577586184688664,0.1746877470707281,0.0034644095874057953,0.0008407120408829592,0.0015669679546244921,7.573307060835889e-16
16,51.0,0.0008852708477415464,0.1284364258051804,0.0021026129460052427,0.0005103755496001937,0.0009521158605305896,6.603402831662227e-16
17,55.0,0.0005589055360692147,0.0955255986679738,0.0013270181687134854,0.00032213110984935067,0.000601365945256409,8.956821072938854e-16
18,60.0,0.00032936988772848386,0.06703264262217214,0.0007818515979428989,0.0001897838169104293,0.0003545405736262626,6.745905917204809e-16
19,65.0,0.00020269157874949642,0.04783559786622293,0.00048108859287303746,0.00011676621994291898,0.00021825208232850932,9.203853612163738e-16
20,71.0,0.00011875268643209762,0.03257754471650506,0.00028183943191208074,6.839694478345549e-05,0.0001279077489491603,8.992336065978758e-16
21,77.0,7.27114689654821e-05,0.022654649487105032,0.0001725624892400058,4.187234095391184e-05,7.833529922720232e-05,7.479326986807695e-16
22,84.0,4.2991092643088265e-05,0.015189249429384146,0.00010202681380537999,2.4753690376192986e-05,4.632598831689267e-05,1.0262094029483354e-15
23,91.0,2.6524280581631573e-05,0.010424930751528495,6.29472475253303e-05,1.5270595155421054e-05,2.8586506173435022e-05,1.0462797997891506e-15
24,99.0,1.596034683090758e-05,0.006956647799528182,3.7876956814865444e-05,9.18778229777523e-06,1.7203765340644102e-05,7.272279840899552e-16
25,108.0,9.449462824435581e-06,0.004543648546555013,2.2425433835002173e-05,5.439226417535188e-06,1.0186940898789429e-05,8.409072049797572e-16
26,117.0,5.836212091181681e-06,0.0030496283401671197,1.3850522482320808e-05,3.3591629835231238e-06,6.292318618476381e-06,9.217969476351568e-16
27,127.0,3.5629579773961026e-06,0.002014122268026302,8.455671070572988e-06,2.050617722192531e-06,3.841741761243814e-06,9.884303520596197e-16
28,138.0,2.1618818626938115e-06,0.0013151987292260533,5.130627202560188e-06,1.2441808204367789e-06,2.3312116202196213e-06,1.1216570551553053e-15
29,151.0,1.2582441432043647e-06,0.0008234588039346166,2.986099667477096e-06,7.240952880211869e-07,1.3568867989231821e-06,1.07590529586052e-15
