,N,4R,Bianchi_ID,B2,BT,E2,ET
0,13.0,8.359394859762695,0.0,19.3424736871151,0.0,43.64339339849667,5.551115123125783e-16
1,15.0,0.43399855686286615,0.0,2.0247326765781377,7.401486830834377e-17,1.225006399277855,5.551115123125783e-17
2,16.0,0.7039259149368599,5.204170427930421e-18,0.6797916623613511,1.249000902703301e-16,1.05671458926857,1.734723475976807e-16
3,17.0,0.6303996642464333,0.0,0.21104619362729066,1.942890293094024e-16,0.8353181649583543,2.4147350785597153e-16
4,19.0,0.3766644089894537,1.982541115402065e-18,0.012003024369439516,2.3195731050204165e-16,0.4497336918960656,1.432385955877992e-16
5,20.0,0.2822496395013234,8.673617379884035e-19,0.02845603930719083,2.8796409701215e-16,0.3272150479949903,9.71445146547012e-17
6,22.0,0.15976602450515184,3.4694469519536144e-19,0.027070244297982514,4.884981308350689e-16,0.17862827311321813,2.9698465908722935e-16
7,24.0,0.09343002270018001,2.168404344971009e-18,0.018580692953344656,9.645062526431047e-16,0.10251866097451477,2.4748721590602446e-16
8,26.0,0.05674800619320683,1.4869058365515489e-18,0.012064392973415317,7.573307060835889e-16,0.06165710261050545,3.9056059973420685e-16
9,28.0,0.035730917101238525,8.673617379884035e-19,0.007832701237731915,1.4276774207289122e-15,0.038618336976021655,4.240314696590808e-16
10,31.0,0.018947764099047505,3.6520494231090674e-19,0.004229683557066906,2.0630427191143123e-15,0.020403778262188303,4.828009337350187e-16
11,33.0,0.012848868226913073,0.0,0.002879360419965219,1.0907280369903697e-15,0.01382152333268099,5.901364053513481e-16
12,36.0,0.007496954158544073,1.1564823173178713e-18,0.001681156419978037,9.905271047827569e-16,0.008059337767081657,3.3566899260151217e-16
13,39.0,0.004575837959413725,1.4134783878329539e-18,0.0010240981039063774,2.7503719466524133e-15,0.004918658924014876,8.2521438242393e-16
14,43.0,0.002511483001688311,9.512999706969587e-19,0.0005599244703404889,1.7248747233390034e-15,0.002700217814232246,5.573498651848064e-16
15,47.0,0.001456963471721351,9.41707029815981e-19,0.00032354779647123205,2.5305154796991963e-15,0.0015669675826055494,7.321524339179827e-16
16,51.0,0.0008849778032154217,4.448008912761043e-19,0.00019582974072591288,3.1573746466342995e-15,0.0009521157755558673,5.349620319377707e-16
17,55.0,0.0005587887975215028,1.6136962567226112e-19,0.00012327035823531568,3.3589087583681152e-15,0.0006013659263285628,8.43559718201745e-16
18,60.0,0.0003293293666235732,4.336808689942018e-19,7.241814233363332e-05,2.4732819958739327e-15,0.00035454056726658595,9.152111938674305e-16
19,65.0,0.00020267623925182709,6.218820008218742e-19,4.445124888816151e-05,4.276715250283651e-15,0.00021825207954091522,8.0245689548157315e-16
20,71.0,0.0001187474239968471,5.880418562633244e-19,2.5978345284930545e-05,4.498284983671927e-15,0.00012790774972153306,7.92798030614214e-16
21,77.0,7.270949732238354e-05,6.405132834375903e-19,1.587486325140659e-05,3.4600794451833393e-15,7.833530092729535e-05,9.45851303262985e-16
22,84.0,4.299040304643121e-05,5.059610138265688e-19,9.36892405035509e-06,3.738425464256463e-15,4.632598781442423e-05,8.490507679642039e-16
23,91.0,2.6524018064274142e-05,1.361428550766608e-18,5.772003132292124e-06,3.838174503961241e-15,2.8586505769968733e-05,1.0042950999655095e-15
24,99.0,1.5960252047603935e-05,2.7915090418017585e-19,3.4686328491505624e-06,3.3633696083651474e-15,1.7203765723734858e-05,1.1497029382163527e-15
25,108.0,9.44943022293655e-06,4.698209414103852e-19,2.0512845983050123e-06,4.346656859675428e-15,1.0186942394581344e-05,8.079835990086141e-16
26,117.0,5.83619982826952e-06,1.9825411154020652e-19,1.265787060891622e-06,3.658184866139891e-15,6.292319494827225e-06,9.161363797212848e-16
27,127.0,3.5629539997260497e-06,1.2067641572012571e-19,7.721370648416935e-07,4.670901346863186e-15,3.841743341469616e-06,1.1084128783893546e-15
28,138.0,2.161880063735173e-06,1.3767646634736563e-19,4.6819693951534213e-07,5.09316189311454e-15,2.3312115157934536e-06,1.0732293581176193e-15
29,151.0,1.2582424359692994e-06,2.620805251475752e-19,2.7233267471731225e-07,4.21500364587343e-15,1.3568845371880184e-06,1.2144015933744435e-15
