,N,Gyxz,dxGyxz,3R,B2,BT,E2,ET
0,13.0,6.794646967539596,3.0258660702409914,4.234027271967558,13.457387326982694,1.1622647289044608e-15,500.61110252952403,9.547918011776346e-16
1,15.0,4.671513984897281,1.5692429232198974,2.5165604731560935,3.364793829661954,5.352861011585576e-16,30.321685485287972,2.038052266633323e-15
2,16.0,1.8390233273317065,0.974699584770611,1.9383223419146163,1.8443869984324321,4.388850394221322e-16,8.025092262297445,2.355754480376504e-15
3,17.0,16.429145567790965,0.9493768892297204,1.5071044136270597,1.0611841654719405,5.304398895431303e-16,1.6237103558944694,1.5697319987061242e-15
4,19.0,1.266100611239873,0.658310210309925,0.9426026998785522,0.3955786909768396,8.553763757907456e-16,0.870344763029393,1.6191278116230799e-15
5,20.0,0.45382840016078524,0.3278089982162594,0.7581713171211791,0.2537059118627362,1.6144493149757484e-15,0.9719083608101404,8.281858994892607e-16
6,22.0,0.3042124871948454,0.21194979988126014,0.5058801084190878,0.1130054308278599,1.0675983906440122e-15,0.8266245964013156,1.71836751177474e-15
7,24.0,0.22599191734969395,0.14419407004708798,0.3500351397811508,0.054956823197414614,1.1674688993323912e-15,0.629221334905852,1.7210625286034897e-15
8,26.0,0.1925723348176183,0.10273212753544919,0.24982457289183757,0.028702365491173144,1.824158108516056e-15,0.4719199980184189,2.1709100566585307e-15
9,28.0,0.32332876870565064,0.0756288016126069,0.18308397434869905,0.015902350093411708,1.7888468484272836e-15,0.3562902170233475,1.857021481033172e-15
10,31.0,0.07056670610731328,0.07221813420641573,0.11974673413193467,0.007181691801698592,2.4571226695814098e-15,0.23932728004907072,2.977690557894102e-15
11,33.0,0.06172204317631574,0.04931652059330992,0.09237619055520388,0.0044461757278560915,1.8332557694122897e-15,0.18671073895417742,2.6639801475880632e-15
12,36.0,0.06125775469680278,0.02898587623557673,0.0644705984526702,0.002305638301069176,1.9532986339498848e-15,0.1318042297586248,2.9546058060476405e-15
13,39.0,0.030009689747996643,0.020902245486972712,0.04637551128260008,0.0012734854210596357,2.5358299689472577e-15,0.09552046108870196,2.5996230258057596e-15
14,43.0,0.02016558581786126,0.013423042316688403,0.031079442688378495,0.0006254126181271096,2.8897519298100503e-15,0.06442734304747377,2.6260739614615756e-15
15,47.0,0.01933028853035296,0.009184196335782527,0.021613421698838828,0.00033110289482099557,3.5231788996197675e-15,0.04498790167867212,2.6017738533413176e-15
16,51.0,0.04230002856286494,0.006603293315453179,0.01549881790275545,0.0001863862066487378,3.4284590670328597e-15,0.0323485839644798,3.369276756817558e-15
17,55.0,0.008451741530621145,0.004953821555012124,0.01140525604786693,0.0001104085022639046,3.7195424045752915e-15,0.023849714406076174,2.746842351683956e-15
18,60.0,0.005832503599009595,0.003961914992786509,0.00801586961384101,6.0900609924158674e-05,3.1927585575353135e-15,0.01678949892531853,3.4108666745725513e-15
19,65.0,0.005616028036835134,0.0029906562313170393,0.005798740925126598,3.549593006541495e-05,2.439082074713776e-15,0.01215927782254479,3.57042611850258e-15
20,71.0,0.002523347216166355,0.003419654236575341,0.004059587729713564,1.9719543691414693e-05,3.780926189417894e-15,0.008520393012859952,2.770711349947464e-15
21,77.0,0.0027366623442524264,0.00247301125051845,0.002926879871124801,1.1565243676903952e-05,4.1788357194883904e-15,0.006146988468709262,4.009775603340477e-15
22,84.0,0.0017459920450224816,0.0009628681987827576,0.002061605354412204,6.566255615359536e-06,3.2555281569950006e-15,0.0043320340856916415,3.6209385270859576e-15
23,91.0,0.0013276856336168282,0.0006896574065256145,0.0014939659964984513,3.92113408797677e-06,3.643755310865019e-15,0.003140428147928472,3.875623048726304e-15
24,99.0,0.0006834464830451645,0.00048042155730524343,0.0010647164707854328,2.289729758140005e-06,4.314390725021702e-15,0.0022387968714238896,4.009536902737954e-15
25,108.0,0.0005309218647255465,0.00039801707161674863,0.0007506568469246075,1.3198228945388024e-06,4.3945576344572856e-15,0.0015788045416700678,3.774307255621778e-15
26,117.0,0.0010320317977331715,0.00032664549587578176,0.0005443712594298808,7.979654107777073e-07,3.74880109116298e-15,0.0011451407603203362,3.844483424906164e-15
27,127.0,0.0002708561829778607,0.0002986296072735529,0.0003917321000476867,4.780226299817568e-07,4.509246034457393e-15,0.0008241676358912937,4.431066857972825e-15
28,138.0,0.00024788976068081364,0.00014817429149170604,0.0002807462172810505,2.85298137577742e-07,3.6435197807545176e-15,0.0005907327635370386,4.541059035211549e-15
29,151.0,0.0006349744249940509,9.217453598092248e-05,0.0001956956697337059,1.635300483014758e-07,4.269045295978336e-15,0.00041181497691665053,4.7318676997289385e-15
