,N,B2/E2-1,E2/B2-1
0,13.0,0.9834161082224603,59.299476951142545
1,15.0,0.8774641401266239,7.160876342920029
2,16.0,0.7751239694882249,3.4468945744203596
3,17.0,0.6853583673103716,2.178218951674555
4,19.0,0.5217926995785395,1.0911433161281012
5,20.0,0.4389231133284407,0.7822869267209285
6,22.0,0.29384372381227514,0.4161171311804067
7,24.0,0.1899430504601513,0.23448110724566723
8,26.0,0.12232751619900462,0.13937718050500175
9,28.0,0.07974076521107325,0.0866503287297767
10,31.0,0.043501615935988135,0.04548007258638178
11,33.0,0.029809647997180545,0.030725566313500017
12,36.0,0.017555095899580545,0.017868784118387743
13,39.0,0.010769785726007869,0.01088703677931223
14,43.0,0.005932649292804599,0.0059680556740788334
15,47.0,0.0034481354476089228,0.0034600662246090656
16,51.0,0.0020966070967936494,0.0021010120936596514
17,55.0,0.001324623387789931,0.0013263803422123455
18,60.0,0.0007810196985635389,0.0007816301671210538
19,65.0,0.0004807735085787843,0.00048100476292632134
20,71.0,0.00028173126940113667,0.0002818106642773093
21,77.0,0.00017252193721844288,0.00017255170617306394
22,84.0,0.00010201263927139363,0.00010202304691166946
23,91.0,6.294185227745456e-05,6.294581420358772e-05
24,99.0,3.787500384041151e-05,3.78764384106621e-05
25,108.0,2.242474987065174e-05,2.2425252751337905e-05
26,117.0,1.3850262217438148e-05,1.3850454049861111e-05
27,127.0,8.455564832822024e-06,8.455636329989631e-06
28,138.0,5.130592991638612e-06,5.130619314746327e-06
29,151.0,2.98609271584358e-06,2.9861016326293545e-06
