,N,B2/E2-1,E2/B2-1
0,13.0,0.9834161082224603,59.299476951142545
1,15.0,0.8774641401266239,7.160876342920028
2,16.0,0.7751239694882249,3.4468945744203596
3,17.0,0.685358367310372,2.1782189516745576
4,19.0,0.5217926995785391,1.0911433161280992
5,20.0,0.4389231133284407,0.7822869267209285
6,22.0,0.29384372381227514,0.4161171311804068
7,24.0,0.18994305046015134,0.23448110724566723
8,26.0,0.12232751619900133,0.13937718050499756
9,28.0,0.07974076521108461,0.08665032872979012
10,31.0,0.04350161593599153,0.045480072586385506
11,33.0,0.02980964799718039,0.030725566313499857
12,36.0,0.017555095899577957,0.017868784118385068
13,39.0,0.01076978572601592,0.010887036779320462
14,43.0,0.005932649292810022,0.005968055674084341
15,47.0,0.0034481354476127418,0.0034600662246129107
16,51.0,0.002096607096795674,0.0021010120936616845
17,55.0,0.0013246233878300565,0.0013263803422525716
18,60.0,0.0007810196985605922,0.0007816301671180979
19,65.0,0.0004807735085946647,0.00048100476294219964
20,71.0,0.0002817312694006474,0.00028181066427682757
21,77.0,0.00017252193722570714,0.0001725517061803265
22,84.0,0.00010201263927826005,0.00010202304691854051
23,91.0,6.294185227556016e-05,6.294581420169332e-05
24,99.0,3.787500384231546e-05,3.787643841256605e-05
25,108.0,2.242474985499644e-05,2.242525273567682e-05
26,117.0,1.3850262202190025e-05,1.3850454034609819e-05
27,127.0,8.455564814376877e-06,8.45563631154448e-06
28,138.0,5.130592996904242e-06,5.130619320013718e-06
29,151.0,2.9860926909809747e-06,2.986101607757164e-06
