,N,Time
0,13.0,0.004481045405069987
1,15.0,0.005945968627929688
2,16.0,0.007075691223144531
3,17.0,0.008439151446024577
4,19.0,0.011362302303314208
5,20.0,0.013209648927052816
6,22.0,0.017375628153483074
7,24.0,0.022033488750457762
8,26.0,0.027119402090708414
9,28.0,0.03415160179138184
10,31.0,0.04570355812708537
11,33.0,0.05523531436920166
12,36.0,0.0700298547744751
13,39.0,0.08640510241190592
14,43.0,0.11656695604324341
15,47.0,0.15453975200653075
16,51.0,0.1848342259724935
17,55.0,0.24114637374877929
18,60.0,0.3004236380259196
19,65.0,0.3761977434158325
20,71.0,0.4896987835566203
21,77.0,0.6353200276692709
22,84.0,0.8118318597475688
23,91.0,1.0361916303634644
24,99.0,1.330789848168691
25,108.0,1.7015422542889913
26,117.0,2.175868844985962
27,127.0,2.812162963549296
28,138.0,3.592773373921712
29,151.0,4.664708809057871
