,N,Time
0,13.0,0.005440553029378255
1,15.0,0.007816843191782634
2,16.0,0.009275229771931966
3,17.0,0.011012335618336996
4,19.0,0.014840912818908692
5,20.0,0.017024676005045574
6,22.0,0.02258952458699544
7,24.0,0.029404834906260172
8,26.0,0.03657908837000529
9,28.0,0.045527732372283934
10,31.0,0.05977859099706014
11,33.0,0.0714926560719808
12,36.0,0.09243439038594564
13,39.0,0.11276057561238607
14,43.0,0.14879926045735678
15,47.0,0.19371957381566365
16,51.0,0.2447378158569336
17,55.0,0.3044509728749593
18,60.0,0.3972168564796448
19,65.0,0.5017267902692158
20,71.0,0.6683261553446452
21,77.0,0.83141530752182
22,84.0,1.0741591413815816
23,91.0,1.3890126744906108
24,99.0,1.7599513133366902
25,108.0,2.2454659223556517
26,117.0,2.8782267053922017
27,127.0,3.69822717110316
28,138.0,4.683008476098379
29,151.0,6.145542816321055
