,N,Gyxz,dxGyxz,3R,B2,BT,E2,ET
0,13.0,4.730304710704618,10.440087592848975,8.47736433922259,19.342478294542833,2.220446049250313e-16,1225.6408010509028,8.881784197001252e-16
1,15.0,8.598516794516069,2.538350327234122,2.720424211695953,2.0247332658400405,6.47630097698008e-17,23.684474152837222,6.846375318521799e-16
2,16.0,2.3706468395332694,1.1218014846242634,1.6911771456216242,0.6797919424820839,2.3245294578089215e-16,6.4698576751786145,3.7643499428696714e-16
3,17.0,20.39151709240686,0.968177235514048,1.0974579156183062,0.21104634448184478,2.0539125955565397e-16,2.848970443388389,2.331468351712829e-16
4,19.0,1.0121428911414894,0.48041545553897824,0.5095135731949555,0.012002968461329264,3.2662364876249024e-16,1.0660433888564964,4.85722573273506e-16
5,20.0,0.2837527827753793,0.17988238885523028,0.3607810778334618,0.028456002377544504,1.5959455978986625e-16,0.7315701656966913,5.342948306008566e-16
6,22.0,0.14864719370114124,0.08953739739463873,0.1920625038001902,0.02707022640159571,4.524158825347513e-16,0.377782519828175,6.217248937900876e-16
7,24.0,0.08960668054645604,0.0489834855423465,0.10909239979122644,0.018580683385850165,6.059967342745646e-16,0.21154360464612176,1.2119934685491292e-15
8,26.0,0.06379848248647708,0.028677425497517287,0.06526762906116805,0.012064387489849027,1.363988287396621e-15,0.12563129270229778,1.1146837421348112e-15
9,28.0,0.09366249859074333,0.017726067034664145,0.040753022294352584,0.00783269792365364,8.916478666520788e-16,0.0781389249561974,1.178256710948622e-15
10,31.0,0.014937442357337566,0.014425981760648653,0.021470318511824037,0.004229681878473028,1.6200491240911825e-15,0.04105802446905851,2.4863152472526533e-15
11,33.0,0.01146278510803635,0.008362800264557057,0.014525449266926555,0.00287935930842732,1.3907525924545487e-15,0.027757737059701217,1.7631398986309034e-15
12,36.0,0.009628396214174233,0.003940716747268531,0.00845794437885646,0.001681155792063821,2.1649348980190553e-15,0.016157588116406156,1.945058697438995e-15
13,39.0,0.0037877906014647574,0.0023693703851337647,0.005156684331817078,0.0010240977284465865,1.8606515505291976e-15,0.009851789661230468,2.0569965484027207e-15
14,43.0,0.002061578259039689,0.001221305289194185,0.0028280836602904967,0.0005599242700292876,1.213187256747651e-15,0.005404789744832742,1.8940942004794503e-15
15,47.0,0.0016754934867380966,0.0006895247541619996,0.0016399800775590493,0.0003235476828109318,1.6129954514911203e-15,0.003135399045388786,1.880440247958859e-15
16,51.0,0.003207809752518417,0.00041752503003229975,0.0009959306796332168,0.00019582967111966615,1.430123825630931e-15,0.0019047709820326744,2.173541795265248e-15
17,55.0,0.0005185997759231133,0.00026855127971289684,0.0006287693359860961,0.00012327031906946427,2.0866706295680087e-15,0.0012029465198148907,2.1743750211208824e-15
18,60.0,0.0002955702206720867,0.00018298769169559914,0.0003705414766629195,7.241812095856032e-05,2.3093506273941244e-15,0.0007091554419745063,3.3245975417095508e-15
19,65.0,0.00024581016047074824,0.00011829345143848605,0.00022802824102783045,4.4451231927761974e-05,2.3982388402221246e-15,0.00043653214974428083,2.4378429044849914e-15
20,71.0,8.912938742919275e-05,0.00011989117915833225,0.00013359689710573381,2.5978337540759884e-05,2.9947795655778586e-15,0.00025582500576399426,2.3185314308750356e-15
21,77.0,8.406689256417702e-05,7.306863260650055e-05,8.180047798775903e-05,1.58748598287359e-05,3.229267814691256e-15,0.00015667410711018762,3.111453402618954e-15
22,84.0,4.4508659922368495e-05,2.201166605972206e-05,4.8365022081519544e-05,9.368920476921875e-06,3.7460389728454716e-15,9.265317058896081e-05,3.3423061771934806e-15
23,91.0,2.8823351783986518e-05,1.3321131103995488e-05,2.9839840846319296e-05,5.772001436047012e-06,3.1943505505987098e-15,5.717344944423256e-05,3.429811814306296e-15
24,99.0,1.2176828904879363e-05,7.78528133969509e-06,1.7955406243557203e-05,3.468631710577293e-06,4.149618069338911e-15,3.440767532068446e-05,3.589003296343924e-15
25,108.0,7.987058765535071e-06,5.546451129004315e-06,1.0630655919947885e-05,2.0512836267708168e-06,3.4594903620029558e-15,2.0373923124030375e-05,3.467639948332805e-15
26,117.0,1.3758622516155778e-05,3.945196685181278e-06,6.565743761033363e-06,1.2657860262028847e-06,3.687939504046883e-15,1.2584650491956205e-05,3.668810047430249e-15
27,127.0,2.9175102264078507e-06,3.1327936540529984e-06,4.008331960776531e-06,7.721459110253825e-07,3.774524473170074e-15,7.683483890011992e-06,3.9898338256427265e-15
28,138.0,2.2937541448081025e-06,1.2558672583258302e-06,2.432119641465349e-06,4.6819533888918496e-07,3.824996426295686e-15,4.662421573747765e-06,4.006612336877813e-15
29,151.0,5.087566758310489e-06,6.385063984603826e-07,1.415525336215191e-06,2.723274776323436e-07,4.234172964284225e-15,2.7137733418081685e-06,4.336416349155859e-15
