,N,4R,B2,BT,E2,ET
1,16.0,2.4898001703202444e-05,5.498787258063003e-19,0.0,0.016733980079494386,1.8810907692623502e-17
2,24.0,4.164247002541734e-06,2.5382597433621858e-20,0.0,0.005972544046403279,2.5436689292250825e-17
3,32.0,1.2204229699620374e-06,3.0721707324599118e-21,0.0,0.001031166666712153,2.2553914914949617e-17
4,40.0,4.786174204675843e-07,6.02389289005947e-22,0.0,0.00022356682555723097,2.5598837505674497e-17
5,48.0,2.2446812396076723e-07,2.3580394020155045e-22,0.0,5.997865541597664e-05,2.1921365519872225e-17
6,56.0,1.1883729719321262e-07,1.6719332040059216e-22,0.0,1.9155593860707553e-05,2.438490337378375e-17
7,64.0,6.867414791371931e-08,2.07222748582586e-22,0.0,7.0115362330315504e-06,2.174709070307497e-17
8,72.0,4.240959728967996e-08,3.642057416110411e-22,0.0,2.8610338533389433e-06,2.1726611818393293e-17
9,80.0,2.7586605039479432e-08,5.225312524195971e-22,0.0,1.275294838143018e-06,2.3405011064147054e-17
10,88.0,1.8713657513413352e-08,8.209758353826653e-22,0.0,6.116137118321395e-07,2.0335608925812132e-17
11,96.0,1.313666588235746e-08,9.674460895764172e-22,0.0,3.1195426771645546e-07,2.3563893332062478e-17
12,104.0,9.487522636416178e-09,1.7821681831799697e-21,0.0,1.677230322751186e-07,2.4798553205535718e-17
13,112.0,7.052510349847901e-09,1.9244750835932352e-21,0.0,9.443465411940548e-08,2.2121922216339175e-17
14,120.0,5.54446983657223e-09,3.0843819521579326e-21,0.0,5.55098227505722e-08,2.0667673907436704e-17
15,128.0,4.780019269017527e-09,3.979895601604257e-21,0.0,3.444126670175417e-08,2.140614474101922e-17
16,136.0,4.549701140359499e-09,4.675035832944623e-21,0.0,2.2715218348652855e-08,2.4306958335582105e-17
17,144.0,4.619604127511083e-09,5.7262770869906056e-21,0.0,1.6202477573179415e-08,3.0229008967424246e-17
18,152.0,4.943186702875858e-09,6.6815590568987634e-21,0.0,1.2885461814451318e-08,2.401545846478071e-17
19,160.0,5.321352550233772e-09,8.271160222701489e-21,0.0,1.0771344636972957e-08,2.4539747066574827e-17
20,168.0,5.735390605814334e-09,1.1083586323012054e-20,0.0,1.0230896791765782e-08,2.277699117541335e-17
