,N,4R,B2,BT,E2,ET
0,88.0,1.8713873799090869716e-08,1.2842761692049528395e-24,0.0,6.116136673736576105e-07,1.0774085359409711669e-20
1,96.0,1.3135499659706006554e-08,6.500874818375447497e-25,0.0,3.1194860366792239993e-07,1.07653412774825721575e-20
2,104.0,9.486972340244550744e-09,3.4606287552708844177e-25,0.0,1.6768870850121772993e-07,1.085733056950806238e-20
3,112.0,7.0283023349811030586e-09,1.9283485933570071099e-25,0.0,9.432624538743914429e-08,1.5033459099111453634e-20
4,120.0,5.311479208300946365e-09,1.1335646249965998256e-25,0.0,5.5205578214912760954e-08,1.10642880881095370964e-20
5,128.0,4.0920152223062944052e-09,6.6960158623722659793e-26,0.0,3.346033933467588717e-08,1.4496646077777850699e-20
6,136.0,3.2020296194033081395e-09,4.2224061806662191012e-26,0.0,2.0921685971077947023e-08,1.10970506433918101555e-20
7,144.0,2.540376995422016257e-09,2.7774407102401175003e-26,0.0,1.3453174801987882864e-08,1.0846709021880513916e-20
8,152.0,2.0414736115701063438e-09,1.9335192749288641613e-26,0.0,8.87270003173014322e-09,1.1053763053885597211e-20
9,160.0,1.6613359160165469414e-09,1.298792688486671185e-26,0.0,5.987715174802407807e-09,1.2138684826896692399e-20
10,168.0,1.3650029463847159588e-09,1.02767684391238919825e-26,0.0,4.1269585710137197477e-09,1.0856081831742751385e-20
