,N,3R,B2,BT,E2,ET
0,8.0,3.211093323036786e-09,3.271335803749647e-21,0.0,2.140543600455997e-08,1.8173106601593782e-16
1,12.0,4.597682984190651e-10,1.9405001884201894e-22,0.0,3.052745843990966e-09,1.9817781157607477e-16
2,16.0,1.599572103244684e-10,2.053315642616879e-23,0.0,9.215092983243708e-10,1.954771543704231e-16
3,20.0,7.794352859042719e-11,3.33582833357622e-24,0.0,3.8339267431849864e-10,1.8775642392489968e-16
4,24.0,9.173154778045453e-11,7.263016916144394e-25,0.0,3.4271987997647836e-10,1.9017305311962358e-16
5,28.0,1.050496966227014e-10,1.978562238951116e-25,0.0,3.596747062022195e-10,1.8651575793488565e-16
6,32.0,1.3974950391572718e-10,6.879363181863845e-26,0.0,4.669034332337868e-10,1.944606138098351e-16
7,36.0,1.940812434510222e-10,3.195982262039105e-26,0.0,6.488303382491837e-10,1.9091206786291019e-16
8,40.0,2.1343229035982367e-10,2.0851176008548153e-26,0.0,7.13097131924063e-10,1.903070724290793e-16
9,44.0,2.7824450267270426e-10,1.904266958434158e-26,0.0,9.280912288609417e-10,1.9163497700914785e-16
10,48.0,3.387495522506551e-10,1.8821516359491233e-26,0.0,1.1284378041526438e-09,1.9374627890431113e-16
11,52.0,3.9843161300835314e-10,2.059687259026309e-26,0.0,1.3290165643736863e-09,1.917196411348936e-16
12,56.0,4.770906931879013e-10,2.120601619028307e-26,0.0,1.5921066518615716e-09,1.912419541419229e-16
13,60.0,5.051441629029857e-10,2.3345594376985542e-26,0.0,1.6905417178152971e-09,1.9199884647662704e-16
14,64.0,5.958859976322153e-10,2.6419219498482436e-26,0.0,1.9867885006572974e-09,1.906005116505198e-16
15,68.0,7.332175889443459e-10,2.733292911468597e-26,0.0,2.443867259722536e-09,1.9272337042378635e-16
16,72.0,8.079455194188274e-10,2.890777374827697e-26,0.0,2.694846023071049e-09,1.9165953066541492e-16
17,76.0,9.885660330612062e-10,3.195131917382013e-26,0.0,3.295601107025353e-09,1.928031560197049e-16
18,80.0,1.014375391900273e-09,3.3975453692587416e-26,0.0,3.374876701173676e-09,1.9237642839511947e-16
19,84.0,1.172429795130355e-09,3.5789459092834625e-26,0.0,3.8982549529097565e-09,1.9179570714217532e-16
20,88.0,1.3317257858946348e-09,3.819314792606012e-26,0.0,4.442626995134864e-09,1.9168159871269144e-16
21,92.0,1.5202298599063812e-09,3.9704826625478794e-26,0.0,5.0679776751784164e-09,1.9257894743711253e-16
22,96.0,1.737511327146773e-09,4.2296988420967917e-26,0.0,5.796740441079248e-09,1.9200427437078816e-16
23,100.0,1.8404411662180138e-09,4.532217235307751e-26,0.0,6.135867385723894e-09,1.9329295796798078e-16
24,104.0,2.090428165823154e-09,4.6133204612679686e-26,0.0,6.963237237579803e-09,1.9157794149715217e-16
25,108.0,2.294423535584443e-09,4.901022479773505e-26,0.0,7.64878112742996e-09,1.9265541614271112e-16
26,112.0,2.495891503247945e-09,5.222814433195957e-26,0.0,8.314293681770083e-09,1.925864166110393e-16
27,116.0,2.6014780714120518e-09,5.441165817120173e-26,0.0,8.68383646524485e-09,1.9271132725590705e-16
28,120.0,2.7067113322906773e-09,5.712728075955884e-26,0.0,9.034051717247243e-09,1.9209675965673008e-16
29,124.0,3.3895311828403313e-09,5.934396645977603e-26,0.0,1.1301303533571718e-08,1.9255880902616668e-16
30,128.0,3.3668312968516998e-09,6.155320340604536e-26,0.0,1.121062598481021e-08,1.922067211276601e-16
31,132.0,3.3755220188825942e-09,6.352246305363705e-26,0.0,1.1250731589879758e-08,1.9202132211144954e-16
32,136.0,4.0490819686569884e-09,6.693742832364519e-26,0.0,1.3491745260060463e-08,1.9271597937297456e-16
33,140.0,4.308038671166455e-09,6.993646565873102e-26,0.0,1.4356143377960549e-08,1.9248081452744417e-16
34,144.0,4.450927440545534e-09,7.238492939767119e-26,0.0,1.4843408349356064e-08,1.9213307163694494e-16
35,148.0,4.685846849788782e-09,7.526298750940899e-26,0.0,1.5631378558802367e-08,1.9271205399873428e-16
