,N,3R,B2,BT,E2,ET
0,8.0,3.2108228329881923152e-09,3.2712629116423195468e-21,0.0,2.1405485255787050765e-08,2.3823165250503282983e-17
1,12.0,4.586436010978989332e-10,1.9423348989086835823e-22,0.0,3.057629393890638971e-09,2.371631299434617514e-17
2,16.0,1.1959269435687918e-10,2.060781367898831142e-23,0.0,7.972829223565499752e-10,2.370883252148292219e-17
3,20.0,4.295358067762614861e-11,3.346707020398757406e-24,0.0,2.863523181495760572e-10,2.3713815360193387358e-17
4,24.0,1.881455113840108733e-11,7.3309623008788355245e-25,0.0,1.254880878910381298e-10,2.3714888889980418523e-17
5,28.0,9.45157865237072328e-12,1.9962897001107714145e-25,0.0,6.2977176579494482244e-11,2.3714079198227633453e-17
6,32.0,5.251249709372093955e-12,6.406886833105362848e-26,0.0,3.489399217783786216e-11,2.3713125650636037608e-17
7,36.0,3.1469117364810515167e-12,2.3372626659330516412e-26,0.0,2.0884193785324076055e-11,2.3716879908406088172e-17
8,40.0,2.0228899030149724858e-12,9.4472441350448369035e-27,0.0,1.3265139782937792867e-11,2.3718603045798413352e-17
9,44.0,1.3868589025891766135e-12,4.1527216116790791342e-27,0.0,8.882837299021050596e-12,2.3717842010787352552e-17
10,48.0,1.0217169006397577895e-12,1.9572293405880336996e-27,0.0,6.2727661250593805687e-12,2.3717396354945952276e-17
11,52.0,7.69063663350614016e-13,9.787035923039831716e-28,0.0,4.72726214600604105e-12,2.3717090968562301937e-17
12,56.0,6.414603994791470424e-13,5.1470913960779349185e-28,0.0,3.6639396037009127922e-12,2.371694254725230588e-17
13,60.0,5.570322253148064077e-13,2.828213351232391612e-28,0.0,3.0436797809322588671e-12,2.3717072555136481761e-17
14,64.0,5.1121502540058383563e-13,1.6145658801230536138e-28,0.0,2.5335810068990242271e-12,2.3718357686139123339e-17
15,68.0,4.779456544022947606e-13,9.5335848550373465825e-29,0.0,2.2762571522390753499e-12,2.3717713032859916755e-17
16,72.0,4.929612648365120166e-13,5.8012245555600756034e-29,0.0,2.145218947702267626e-12,2.3718050774417715294e-17
17,76.0,5.3249877476792166185e-13,3.6255446949369946516e-29,0.0,2.1489582680252515896e-12,2.3717913564615327983e-17
18,80.0,5.520588934849739028e-13,2.3203129334517401097e-29,0.0,2.113212360150484677e-12,2.3718002225536195021e-17
19,84.0,6.4630525658258868506e-13,1.5193005666357863013e-29,0.0,2.331331655491425274e-12,2.3718986265800211506e-17
20,88.0,6.527597043057715933e-13,1.0143016498507751847e-29,0.0,2.3076979248556976629e-12,2.3718059663086997824e-17
21,92.0,7.7689888679037681044e-13,6.898545800994338496e-30,0.0,2.6925162222802557432e-12,2.3719268272298089961e-17
22,96.0,8.166466152848623023e-13,4.7668931105447348732e-30,0.0,2.8061071318293504744e-12,2.3718335457698376484e-17
23,100.0,8.6317652952260890484e-13,3.3490975403893902105e-30,0.0,2.9158723608429809123e-12,2.3718867785018368091e-17
24,104.0,9.763180028052859037e-13,2.3857093381587311207e-30,0.0,3.2797893918524850801e-12,2.371834737886440711e-17
25,108.0,1.083679488791057979e-12,1.7222063250842838379e-30,0.0,3.6300942690683517409e-12,2.371871160178884284e-17
26,112.0,1.1767056694252342291e-12,1.2598161720717578403e-30,0.0,3.9431595948905163936e-12,2.3718500765099741678e-17
27,116.0,1.2566758325956042498e-12,9.335648234990142802e-31,0.0,4.203249059415755127e-12,2.3718416990706254633e-17
28,120.0,1.4109707270643059911e-12,6.9966942690307945827e-31,0.0,4.704466289915695691e-12,2.3718346485327153458e-17
29,124.0,1.6065885415460694325e-12,5.3078838658894987915e-31,0.0,5.368034446040117048e-12,2.371886536950829791e-17
30,128.0,1.5790825623051752722e-12,4.0712857650291510678e-31,0.0,5.268785139706561926e-12,2.3718737838027083805e-17
31,132.0,1.9032486813486587389e-12,3.1580986789384190743e-31,0.0,6.352118513592491651e-12,2.3718525648247051519e-17
32,136.0,1.968306473552239083e-12,2.4707617014629792444e-31,0.0,6.5621725449983919197e-12,2.3718567296242951006e-17
33,140.0,2.1460811073867151667e-12,1.968159426757582184e-31,0.0,7.1532376136514871867e-12,2.3718675522915868753e-17
34,144.0,2.1063072321330665094e-12,1.5795098182938229686e-31,0.0,7.0240986636233893097e-12,2.3718745545307885602e-17
35,148.0,2.4496164843916921233e-12,1.2890470279327102403e-31,0.0,8.167059287920398778e-12,2.3718970120728358901e-17
