,N,4R,B2,BT,E2,ET
0,8.0,0.003790324812881891,0.5827355377313603,5.1263615175829795e-18,0.00042903495890243793,6.287017347700319e-17
1,12.0,0.00042268351190895374,0.09624002873036588,8.568602544559104e-18,5.337854328566313e-05,6.359849632527933e-17
2,16.0,9.595696062237471e-05,0.030416691995398926,5.766711645969663e-18,1.299294955472451e-05,4.632169078649592e-17
3,20.0,4.631635530483726e-05,0.0116694998733145,8.252316644937896e-18,5.933848556630927e-06,4.1225269725719825e-17
4,24.0,2.7378089720731303e-05,0.005084108646477833,1.1490032909351923e-17,3.332809708201357e-06,5.554779324912423e-17
5,28.0,1.7413004070094323e-05,0.0025225435487291675,1.100123256582545e-17,2.096495434457153e-06,5.204202037323205e-17
6,32.0,1.125732294165789e-05,0.001388333665309028,1.2105041446357186e-17,1.3503289768355926e-06,5.905820757700362e-17
7,36.0,7.50803024645237e-06,0.0008261778568976895,1.6122338853623818e-17,8.987077210357659e-07,6.359076264723142e-17
8,40.0,5.15441701199423e-06,0.0005225569203524563,1.6837231863918944e-17,6.167564115563077e-07,7.043465203443455e-17
9,44.0,3.637005908480158e-06,0.00034692613825542263,1.767475561958312e-17,4.3517801386993153e-07,4.933738963434957e-17
10,48.0,2.6309011652082566e-06,0.00024132073366484508,1.5123250718075806e-17,3.148390302643104e-07,6.544653398664438e-17
11,52.0,1.9458072385870064e-06,0.0001733198034963061,1.3956622443615847e-17,2.3290549473880148e-07,6.185405471017155e-17
12,56.0,1.4677661149966082e-06,0.00012785707891998848,1.550699859153243e-17,1.7573078519229203e-07,5.325819176059006e-17
13,60.0,1.1267475794429468e-06,9.633719112167865e-05,2.255631035738509e-17,1.3493776198850634e-07,5.468489280229743e-17
14,64.0,8.785858757717191e-07,7.394172682333514e-05,2.100087354156194e-17,1.052473415933152e-07,4.2850814466443817e-17
15,68.0,6.947313842013675e-07,5.768295478699774e-05,2.471122097385275e-17,8.325322156762532e-08,6.122197045986011e-17
16,72.0,5.563003962982959e-07,4.575974467085669e-05,1.6921252758509973e-17,6.668600386957087e-08,5.961090223940203e-17
17,76.0,4.5053570450717325e-07,3.680592530904315e-05,2.2752374591489083e-17,5.402339011746044e-08,5.631360152120262e-17
18,80.0,3.6865007947962026e-07,2.9955970057418663e-05,2.133614161824258e-17,4.4216275100193193e-08,5.879067984390987e-17
19,84.0,3.044822700968294e-07,2.461886110000163e-05,2.3185734279571208e-17,3.652871374339489e-08,5.773421055778859e-17
20,88.0,2.536411398196334e-07,2.0412021802316727e-05,1.7411815442975895e-17,3.043598011849157e-08,5.992002963360454e-17
21,92.0,2.1294980798566985e-07,1.706175484356823e-05,2.4731877297319944e-17,2.5558316905191134e-08,5.885038164383007e-17
22,96.0,1.8007831318834773e-07,1.4368193671845805e-05,2.970929515252106e-17,2.16172379481068e-08,5.622209029687111e-17
23,100.0,1.5329533415033892e-07,1.2183491603876761e-05,2.3661453725454543e-17,1.8406113015154934e-08,5.547055870191997e-17
24,104.0,1.312998723856526e-07,1.040125256623748e-05,2.1277876337353413e-17,1.5768211660585528e-08,5.527900020395173e-17
25,108.0,1.1310304449759505e-07,8.933684092440094e-06,2.9940165248039476e-17,1.3585307739273694e-08,5.630474007031772e-17
26,112.0,9.794573907952782e-08,7.71488129543524e-06,2.501190384744749e-17,1.1766606226892757e-08,4.896974544160731e-17
27,116.0,8.52397300784764e-08,6.696110717239391e-06,3.000752145060922e-17,1.024171639178762e-08,5.400516645175958e-17
28,120.0,7.452527660529961e-08,5.839433357253748e-06,2.818081475275532e-17,8.955570734092108e-09,5.231988244781878e-17
29,124.0,6.543980767397191e-08,5.1149958565654355e-06,2.593241392305445e-17,7.86477772065791e-09,5.4243923751278845e-17
30,128.0,5.7695471298420695e-08,4.499766717775792e-06,2.8350475912104264e-17,6.934957603387631e-09,5.856636102169591e-17
31,132.0,5.106200002827191e-08,3.975018039731811e-06,3.03297435219204e-17,6.138590494158048e-09,5.634075279340844e-17
32,136.0,4.535373281040705e-08,3.5242666414312968e-06,3.370549251790046e-17,5.453145993227269e-09,5.2691135973956385e-17
33,140.0,4.0420203750827914e-08,3.1353740822671778e-06,3.685606932287867e-17,4.8606234737807374e-09,5.033206222431352e-17
34,144.0,3.613896767061962e-08,2.7985078523404167e-06,3.1503785941462624e-17,4.346309088790886e-09,5.0387369923384587e-17
35,148.0,3.2409213700405106e-08,2.505554879462583e-06,3.094340719712969e-17,3.898166256167673e-09,5.567961321333845e-17
