,N,3R,B2,BT,E2,ET
0,8.0,0.015717013570645033,0.02502224539814063,1.4844666848890656e-19,0.00013305880651835744,2.0729945537922845e-16
1,16.0,0.001780370031128986,0.001571404670507053,6.829657529703433e-20,9.60664403795719e-06,1.3899471851264167e-16
2,24.0,0.0003518841874650495,0.0003113520927850595,1.1557332336995e-19,1.939516851364361e-06,1.6609977282477928e-16
3,32.0,0.00011066954573905992,9.871542416048929e-05,1.5253698204636377e-19,6.170807524998045e-07,1.315137235224917e-16
4,40.0,4.6629174162649e-05,4.0482066120696215e-05,1.4923740513562757e-19,2.531663102184334e-07,1.5170156797417179e-16
5,48.0,2.3283066411239867e-05,1.9536726125583524e-05,1.2896571362427434e-19,1.2213718231004109e-07,1.627748861624904e-16
6,56.0,1.3037303236895784e-05,1.0550332614777401e-05,1.3341040451512127e-19,6.592253980990709e-08,1.9013808384902933e-16
7,64.0,7.922882257813984e-06,6.186347189950047e-06,1.5970016344544354e-19,3.871488801938938e-08,1.7840546748248975e-16
8,72.0,5.111378776598034e-06,3.862956377874228e-06,1.5100108365950798e-19,2.419888525827406e-08,1.5935362597375837e-16
9,80.0,3.4575970307696706e-06,2.5348919843338786e-06,1.596925690495916e-19,1.588613189884569e-08,1.450662506785605e-16
10,88.0,2.430852045636363e-06,1.7315733747336445e-06,1.4786801374776121e-19,1.0852843458515742e-08,1.6988462404509232e-16
11,96.0,1.7646938197057868e-06,1.2227191947893156e-06,1.2033294476026003e-19,7.662913364033427e-09,1.557275720413346e-16
12,104.0,1.3163709985329875e-06,8.877889314251597e-07,1.0412413164364757e-19,5.562835765744627e-09,1.5005358067199381e-16
13,112.0,1.0057200814330999e-06,6.600792386921774e-07,1.3755767860935923e-19,4.135011521680784e-09,1.7399896008145939e-16
14,120.0,7.843979931094914e-07,5.009143954334592e-07,1.316779051812709e-19,3.1388288903218728e-09,1.5754180367662702e-16
15,128.0,6.228797833647708e-07,3.8695934196866657e-07,1.5125022003761403e-19,2.425394739213882e-09,1.592692991381206e-16
16,136.0,5.027351411757997e-07,3.0364313031020645e-07,1.3060007858005843e-19,1.9034228188705967e-09,1.5778330439583164e-16
17,144.0,4.118943477581704e-07,2.415910000597311e-07,1.25234657207813e-19,1.5144886201616063e-09,1.6566609195578508e-16
