,N,3R,B2,BT,E2,ET
0,6.0,,0.07005126556945593,1.8832637466609102e-19,0.0003653940170642578,1.1449174941446927e-16
1,7.0,0.029482719164558694,0.039221638405189156,8.953281779535943e-20,0.00022486496344398255,1.6802035953032504e-16
2,8.0,0.015717013570645033,0.023536244706321114,8.641249568783006e-20,0.00013305880651835744,2.0729945537922845e-16
3,9.0,0.01014206708150082,0.01492977189538247,8.641047388154506e-20,8.864247798699864e-05,1.4340380734741606e-16
4,10.0,0.007596072377300367,0.009907155251365748,1.6094859981478817e-19,5.8463095249416955e-05,1.8318679906315082e-16
5,11.0,0.006719385553291258,0.006823459970929615,9.538206128252794e-20,4.128416060638679e-05,1.9491983784612123e-16
6,12.0,0.00483507682775806,0.004848392123409084,1.067980756733804e-19,2.9289529795658204e-05,1.43982048506075e-16
7,13.0,0.0040653001231928535,0.0035373782089987483,1.4315500778372317e-19,2.163193861882428e-05,1.8174564417541626e-16
8,14.0,0.0029058691062157083,0.002640164006565443,1.1598183289616072e-19,1.6165058959976314e-05,1.8288941789584052e-16
9,15.0,0.002472746960931841,0.0020097282405762396,1.7203031696519904e-19,1.2368291269330516e-05,2.1926904736346843e-16
10,16.0,0.001780370031128986,0.0015564427784802001,1.0904322251215902e-19,9.60664403795719e-06,1.3899471851264167e-16
11,17.0,0.0015487374091442256,0.0012238742549584311,1.1088673081293484e-19,7.561791370918842e-06,1.8204392242015434e-16
12,18.0,0.0011288940713716131,0.0009754660022760347,1.1860994319424752e-19,6.0508692601188606e-06,1.1834669047219552e-16
13,19.0,0.0010036138753200402,0.0007869344077066469,1.6854974957400605e-19,4.874511177097468e-06,1.5009923128978268e-16
14,20.0,0.0007416361581270807,0.0006417828929956015,1.1820326063187268e-19,3.993686863390522e-06,2.0001361678012585e-16
15,21.0,0.0006721365461581196,0.0005285771708470187,1.4075624657708292e-19,3.279680123860881e-06,1.3910830159737824e-16
16,22.0,0.0005034477400676224,0.0004392466644035142,1.1716355523121793e-19,2.7389750798573704e-06,1.6921438997482855e-16
17,23.0,0.0004638555525301065,0.00036800059078044366,1.1521305583180164e-19,2.285935958180945e-06,1.6532668953657222e-16
18,24.0,0.0003518841874650495,0.0003106213314655326,1.573001738694831e-19,1.939516851364361e-06,1.6609977282477928e-16
19,25.0,0.00032879617508399663,0.00026399474650203335,1.679841530485896e-19,1.6411448048447853e-06,1.3877787807814457e-16
20,26.0,0.0002523581137097164,0.00022579241161765906,1.2798289081776817e-19,1.4110741827862898e-06,1.9335494743772258e-16
21,27.0,0.00023864347946469944,0.00019425313936661582,1.4426475324492901e-19,1.2082317270464724e-06,1.2747005097548094e-16
22,28.0,0.000185120578718213,0.00016803049401228684,1.0492537131593836e-19,1.0506774598525607e-06,1.8648277366750676e-16
23,29.0,0.000177414989422147,0.00014608488492929552,1.5127793273258857e-19,9.089610955256174e-07,1.706010811546846e-16
24,30.0,0.0001416077245163331,0.00012760622411735399,1.5036039992487374e-19,7.981783554507812e-07,1.719689205851675e-16
25,31.0,0.00013572340550060068,0.00011195783204026396,1.3574318616695818e-19,6.975520564393129e-07,1.6317592438543127e-16
26,32.0,0.00011066954573905992,9.863530085371108e-05,1.2834163850702168e-19,6.170807524998045e-07,1.315137235224917e-16
27,33.0,0.00010530566504551865,8.723601302096015e-05,1.4934678339863346e-19,5.441789865322948e-07,1.5286593539819864e-16
28,34.0,8.74466167994676e-05,7.743633604327324e-05,1.128147354811972e-19,4.844960459362949e-07,1.8398273101095196e-16
29,35.0,8.351330760451907e-05,6.897440594354588e-05,1.2487046721518452e-19,4.306512081640536e-07,1.585041621763951e-16
